epoch:0, loss: 1.571967345759982, other:0.40, company:0.12, address:0.76, date:0.23, total:0.18
epoch:1, loss: 1.2652031946749913, other:0.41, company:0.13, address:0.88, date:0.39, total:0.04
epoch:2, loss: 0.8747074581327893, other:0.45, company:0.37, address:0.86, date:0.34, total:0.05
epoch:3, loss: 0.6818132406189328, other:0.50, company:0.30, address:0.86, date:0.37, total:0.03
epoch:4, loss: 0.47713027255875723, other:0.53, company:0.35, address:0.88, date:0.31, total:0.01
epoch:5, loss: 0.5522568966661181, other:0.51, company:0.34, address:0.92, date:0.44, total:0.02
epoch:6, loss: 0.5330807929947263, other:0.49, company:0.27, address:0.94, date:0.49, total:0.01
epoch:7, loss: 0.5749819119771321, other:0.46, company:0.30, address:0.94, date:0.49, total:0.01
epoch:8, loss: 0.46719177734284173, other:0.54, company:0.35, address:0.93, date:0.49, total:0.00
epoch:9, loss: 0.6843405893870762, other:0.44, company:0.40, address:0.96, date:0.62, total:0.13
epoch:10, loss: 0.5118150327886853, other:0.50, company:0.46, address:0.92, date:0.52, total:0.05
epoch:11, loss: 0.45415925667399454, other:0.53, company:0.46, address:0.91, date:0.44, total:0.02
epoch:12, loss: 0.5090557429052535, other:0.53, company:0.63, address:0.84, date:0.46, total:0.03
epoch:13, loss: 0.4263693928718567, other:0.55, company:0.47, address:0.93, date:0.45, total:0.04
epoch:14, loss: 0.4877330279066449, other:0.52, company:0.48, address:0.92, date:0.54, total:0.04
epoch:15, loss: 0.5182640690179098, other:0.54, company:0.56, address:0.86, date:0.48, total:0.18
epoch:16, loss: 0.48615110857146127, other:0.53, company:0.44, address:0.90, date:0.42, total:0.12
epoch:17, loss: 0.389919412845657, other:0.55, company:0.59, address:0.82, date:0.53, total:0.10
epoch:18, loss: 0.40090675950050353, other:0.53, company:0.32, address:0.95, date:0.62, total:0.02
epoch:19, loss: 0.4777660419543584, other:0.49, company:0.61, address:0.89, date:0.70, total:0.16
epoch:20, loss: 0.514246836020833, other:0.50, company:0.52, address:0.92, date:0.55, total:0.15
epoch:21, loss: 0.5232051332791646, other:0.52, company:0.42, address:0.95, date:0.58, total:0.09
epoch:22, loss: 0.5227424442768097, other:0.50, company:0.23, address:0.95, date:0.60, total:0.11
epoch:23, loss: 0.7187793056170145, other:0.43, company:0.66, address:0.82, date:0.71, total:0.22
epoch:24, loss: 0.44951747074013665, other:0.53, company:0.35, address:0.96, date:0.64, total:0.10
epoch:25, loss: 0.5864082425832748, other:0.49, company:0.61, address:0.88, date:0.61, total:0.23
epoch:26, loss: 0.4409393172888529, other:0.57, company:0.53, address:0.90, date:0.56, total:0.11
epoch:27, loss: 0.5162661877416429, other:0.52, company:0.64, address:0.87, date:0.67, total:0.14
epoch:28, loss: 0.5202928777251925, other:0.50, company:0.56, address:0.88, date:0.74, total:0.21
epoch:29, loss: 0.42400013321921937, other:0.53, company:0.64, address:0.83, date:0.69, total:0.16
epoch:30, loss: 0.5413017345326288, other:0.50, company:0.57, address:0.91, date:0.71, total:0.13
epoch:31, loss: 0.5308171158745175, other:0.50, company:0.44, address:0.94, date:0.64, total:0.11
epoch:32, loss: 0.4139200277271725, other:0.52, company:0.49, address:0.91, date:0.71, total:0.14
epoch:33, loss: 0.7146973547481356, other:0.47, company:0.40, address:0.95, date:0.71, total:0.19
epoch:34, loss: 0.5281946061622529, other:0.50, company:0.41, address:0.96, date:0.72, total:0.16
epoch:35, loss: 0.5638559332915715, other:0.47, company:0.51, address:0.92, date:0.77, total:0.22
epoch:36, loss: 0.4857227346726826, other:0.50, company:0.54, address:0.89, date:0.68, total:0.11
epoch:37, loss: 0.3847657432158788, other:0.54, company:0.52, address:0.91, date:0.65, total:0.10
epoch:38, loss: 0.45844203375634696, other:0.52, company:0.50, address:0.95, date:0.62, total:0.10
epoch:39, loss: 0.5248183229139873, other:0.48, company:0.43, address:0.96, date:0.70, total:0.20
epoch:40, loss: 0.5730420443983305, other:0.47, company:0.49, address:0.96, date:0.77, total:0.20
epoch:41, loss: 0.39524687613759724, other:0.53, company:0.42, address:0.95, date:0.70, total:0.05
epoch:42, loss: 0.4010526901199704, other:0.53, company:0.46, address:0.95, date:0.68, total:0.07
epoch:43, loss: 0.4762454386268343, other:0.52, company:0.53, address:0.95, date:0.69, total:0.09
epoch:44, loss: 0.3869609960487911, other:0.54, company:0.45, address:0.97, date:0.68, total:0.11
