epoch:0, loss: 1.5793809868254751, other:0.41|0.92|0.57, company:0.34|0.02|0.04, address:0.19|0.07|0.10, date:0.21|0.03|0.05, total:0.00|0.00|0.00
epoch:1, loss: 1.4353921750806413, other:0.57|0.95|0.71, company:0.10|0.03|0.05, address:0.79|0.10|0.18, date:0.00|0.01|0.01, total:0.00|0.00|0.00
epoch:2, loss: 1.2843391715355639, other:0.77|0.96|0.85, company:0.01|0.02|0.01, address:0.92|0.17|0.28, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:3, loss: 1.2589684409915276, other:0.87|0.94|0.91, company:0.01|0.01|0.01, address:0.73|0.22|0.34, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:4, loss: 1.1595069012551937, other:0.72|0.96|0.82, company:0.00|0.01|0.00, address:0.96|0.15|0.25, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:5, loss: 1.1099482403611236, other:0.73|0.96|0.83, company:0.00|0.00|0.00, address:0.99|0.15|0.26, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:6, loss: 1.0547589086136728, other:0.79|0.96|0.87, company:0.00|0.00|0.00, address:0.98|0.18|0.31, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:7, loss: 1.0896917457850475, other:0.89|0.95|0.92, company:0.00|0.00|0.00, address:0.80|0.25|0.38, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:8, loss: 1.0630652960741296, other:0.86|0.96|0.90, company:0.00|0.01|0.00, address:0.89|0.23|0.36, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:9, loss: 0.994750403008371, other:0.84|0.96|0.89, company:0.00|0.00|0.00, address:0.98|0.21|0.35, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:10, loss: 0.9714426420769602, other:0.89|0.96|0.92, company:0.00|0.00|0.00, address:0.93|0.27|0.42, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:11, loss: 0.9519747878020665, other:0.88|0.96|0.92, company:0.00|0.00|0.00, address:0.97|0.26|0.41, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:12, loss: 0.9629840963291671, other:0.91|0.96|0.93, company:0.00|0.00|0.00, address:0.91|0.30|0.46, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:13, loss: 1.0013036784136071, other:0.88|0.96|0.92, company:0.00|0.00|0.00, address:0.88|0.25|0.39, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:14, loss: 0.9344102335426042, other:0.90|0.96|0.93, company:0.00|0.00|0.00, address:0.95|0.28|0.44, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:15, loss: 0.9224576162842085, other:0.90|0.96|0.93, company:0.00|0.00|0.00, address:0.94|0.29|0.44, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:16, loss: 0.9876394013188919, other:0.94|0.94|0.94, company:0.00|0.00|0.00, address:0.75|0.34|0.47, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:17, loss: 0.9471500111076067, other:0.93|0.95|0.94, company:0.00|0.00|0.00, address:0.80|0.32|0.45, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:18, loss: 0.8901197055600724, other:0.90|0.96|0.93, company:0.00|0.00|0.00, address:0.93|0.29|0.44, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:19, loss: 0.9153970704888398, other:0.92|0.95|0.94, company:0.00|0.00|0.00, address:0.87|0.31|0.46, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:20, loss: 0.90799972246278, other:0.88|0.96|0.92, company:0.00|0.00|0.00, address:0.93|0.26|0.40, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:21, loss: 0.9019529099734325, other:0.90|0.96|0.93, company:0.00|0.00|0.00, address:0.90|0.29|0.43, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:22, loss: 0.9033153259529257, other:0.90|0.96|0.93, company:0.00|0.00|0.00, address:0.90|0.28|0.43, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:23, loss: 0.9373554969733616, other:0.92|0.95|0.94, company:0.00|0.00|0.00, address:0.81|0.30|0.44, date:0.00|0.00|0.00, total:0.00|0.00|0.00
