epoch:0, loss: 1.0477813173223425, other:0.94|0.96|0.95, company:0.00|0.00|0.00, address:0.88|0.36|0.51, date:0.00|0.00|0.00, total:0.05|0.42|0.09
epoch:1, loss: 0.7642313838005066, other:0.95|0.96|0.95, company:0.01|0.70|0.02, address:0.87|0.43|0.58, date:0.01|0.12|0.02, total:0.15|0.28|0.20
epoch:2, loss: 0.5759601747548139, other:0.91|0.97|0.94, company:0.39|0.85|0.54, address:0.93|0.45|0.60, date:0.23|0.29|0.25, total:0.44|0.24|0.31
epoch:3, loss: 0.4685834966323994, other:0.89|0.98|0.93, company:0.68|0.84|0.75, address:0.96|0.48|0.64, date:0.48|0.31|0.38, total:0.56|0.24|0.34
epoch:4, loss: 0.41197402830477114, other:0.86|0.98|0.92, company:0.91|0.65|0.76, address:0.92|0.51|0.66, date:0.60|0.30|0.40, total:0.70|0.21|0.32
epoch:5, loss: 0.3716830180750953, other:0.87|0.98|0.92, company:0.84|0.79|0.81, address:0.96|0.53|0.68, date:0.60|0.34|0.43, total:0.74|0.23|0.35
epoch:6, loss: 0.34607375882290026, other:0.89|0.98|0.94, company:0.80|0.83|0.82, address:0.97|0.54|0.70, date:0.70|0.36|0.47, total:0.68|0.28|0.40
epoch:7, loss: 0.3356402748160892, other:0.87|0.99|0.93, company:0.79|0.84|0.82, address:0.98|0.52|0.68, date:0.70|0.37|0.49, total:0.82|0.24|0.37
epoch:8, loss: 0.3349003085383662, other:0.91|0.98|0.95, company:0.75|0.87|0.81, address:0.98|0.54|0.70, date:0.62|0.50|0.56, total:0.74|0.30|0.43
epoch:9, loss: 0.2964635883216505, other:0.89|0.99|0.94, company:0.91|0.77|0.83, address:0.98|0.53|0.69, date:0.72|0.43|0.54, total:0.78|0.29|0.42
epoch:10, loss: 0.29080210239798937, other:0.88|0.99|0.93, company:0.96|0.65|0.78, address:0.92|0.63|0.75, date:0.78|0.41|0.54, total:0.87|0.25|0.38
epoch:11, loss: 0.27478515825889727, other:0.92|0.99|0.95, company:0.94|0.74|0.83, address:0.97|0.59|0.74, date:0.82|0.42|0.56, total:0.57|0.43|0.49
epoch:12, loss: 0.2541746077714143, other:0.92|0.99|0.95, company:0.91|0.82|0.86, address:0.98|0.56|0.72, date:0.76|0.57|0.65, total:0.73|0.36|0.48
epoch:13, loss: 0.23903825658339042, other:0.91|0.99|0.95, company:0.93|0.75|0.83, address:0.98|0.61|0.75, date:0.87|0.45|0.59, total:0.78|0.36|0.50
