epoch:0, loss: 0.7140753202968173, other:1.00|0.90|0.94, company:0.00|0.00|0.00, address:0.06|0.52|0.11, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.33989469872580635, other:1.00|0.90|0.95, company:0.00|0.00|0.00, address:0.07|0.40|0.13, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:2, loss: 0.2762723642366904, other:0.99|0.93|0.96, company:0.00|1.00|0.01, address:0.52|0.52|0.52, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:3, loss: 0.24496132190580722, other:0.99|0.94|0.96, company:0.33|0.88|0.48, address:0.67|0.62|0.64, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:4, loss: 0.2248370592240934, other:0.99|0.94|0.97, company:0.74|0.76|0.75, address:0.67|0.74|0.70, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:5, loss: 0.21062897863211455, other:0.99|0.95|0.97, company:0.70|0.89|0.78, address:0.76|0.74|0.75, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:6, loss: 0.19698448368796595, other:0.99|0.94|0.97, company:0.72|0.91|0.80, address:0.69|0.79|0.74, date:0.00|0.00|0.00, total:0.00|1.00|0.00
epoch:7, loss: 0.1865745766295327, other:0.99|0.95|0.97, company:0.79|0.89|0.84, address:0.79|0.79|0.79, date:0.03|0.75|0.06, total:0.01|1.00|0.02
epoch:8, loss: 0.17819228216453833, other:0.99|0.95|0.97, company:0.79|0.90|0.84, address:0.79|0.79|0.79, date:0.03|1.00|0.05, total:0.01|1.00|0.02
epoch:9, loss: 0.1767649010375694, other:0.98|0.95|0.97, company:0.84|0.89|0.86, address:0.89|0.72|0.80, date:0.06|0.93|0.12, total:0.02|0.92|0.04
epoch:10, loss: 0.16583219998412663, other:0.99|0.94|0.97, company:0.79|0.93|0.85, address:0.72|0.86|0.78, date:0.07|0.98|0.13, total:0.04|0.85|0.08
epoch:11, loss: 0.15600484719982854, other:0.99|0.95|0.97, company:0.82|0.91|0.86, address:0.82|0.85|0.83, date:0.09|0.96|0.16, total:0.05|0.83|0.10
epoch:12, loss: 0.14937897854381138, other:0.98|0.96|0.97, company:0.89|0.87|0.88, address:0.90|0.79|0.84, date:0.22|0.90|0.35, total:0.14|0.81|0.24
epoch:13, loss: 0.14206453054039567, other:0.99|0.96|0.97, company:0.86|0.89|0.87, address:0.83|0.87|0.85, date:0.17|0.96|0.29, total:0.14|0.84|0.24
epoch:14, loss: 0.13886269126777295, other:0.99|0.96|0.97, company:0.85|0.90|0.88, address:0.83|0.90|0.86, date:0.24|0.97|0.38, total:0.22|0.81|0.35
epoch:15, loss: 0.13689008272356457, other:0.99|0.96|0.98, company:0.85|0.90|0.88, address:0.83|0.91|0.87, date:0.27|0.96|0.42, total:0.17|0.80|0.28
epoch:16, loss: 0.14206552505493164, other:0.98|0.96|0.97, company:0.90|0.84|0.87, address:0.87|0.81|0.84, date:0.39|0.71|0.50, total:0.20|0.83|0.32
epoch:17, loss: 0.13531193606279515, other:0.98|0.96|0.97, company:0.90|0.86|0.88, address:0.92|0.77|0.84, date:0.30|0.91|0.46, total:0.19|0.86|0.32
epoch:18, loss: 0.13121384354653182, other:0.98|0.97|0.98, company:0.90|0.88|0.88, address:0.93|0.85|0.89, date:0.45|0.85|0.59, total:0.43|0.55|0.48
epoch:19, loss: 0.12490510057519984, other:0.99|0.96|0.98, company:0.81|0.94|0.87, address:0.77|0.88|0.82, date:0.39|0.95|0.55, total:0.26|0.82|0.40
epoch:20, loss: 0.11996032159637522, other:0.99|0.97|0.98, company:0.87|0.93|0.90, address:0.90|0.89|0.89, date:0.50|0.91|0.64, total:0.41|0.62|0.49
epoch:21, loss: 0.11160518560144636, other:0.99|0.97|0.98, company:0.87|0.94|0.90, address:0.90|0.89|0.90, date:0.52|0.87|0.65, total:0.19|0.88|0.32
epoch:22, loss: 0.10683060768577787, other:0.99|0.97|0.98, company:0.88|0.90|0.89, address:0.92|0.89|0.91, date:0.54|0.92|0.68, total:0.23|0.86|0.36
epoch:23, loss: 0.10732699075230846, other:0.99|0.97|0.98, company:0.91|0.87|0.89, address:0.87|0.93|0.90, date:0.53|0.93|0.68, total:0.39|0.72|0.51
epoch:24, loss: 0.1133297927401684, other:0.99|0.96|0.98, company:0.89|0.90|0.89, address:0.76|0.94|0.84, date:0.50|0.92|0.65, total:0.19|0.92|0.32
epoch:25, loss: 0.10489164375596577, other:0.99|0.97|0.98, company:0.93|0.88|0.90, address:0.92|0.92|0.92, date:0.67|0.88|0.76, total:0.19|0.94|0.31
epoch:26, loss: 0.10632554965990561, other:0.99|0.97|0.98, company:0.91|0.89|0.90, address:0.93|0.90|0.92, date:0.43|0.93|0.59, total:0.46|0.72|0.56
epoch:27, loss: 0.10138399678247946, other:0.99|0.97|0.98, company:0.91|0.90|0.90, address:0.89|0.92|0.91, date:0.58|0.93|0.72, total:0.51|0.64|0.57
epoch:28, loss: 0.08916422283207928, other:0.99|0.98|0.98, company:0.90|0.92|0.91, address:0.94|0.93|0.93, date:0.66|0.91|0.76, total:0.36|0.89|0.52
epoch:29, loss: 0.10157495819860035, other:1.00|0.97|0.98, company:0.92|0.90|0.91, address:0.87|0.96|0.91, date:0.63|0.91|0.74, total:0.09|0.98|0.16
epoch:30, loss: 0.09758501775838711, other:0.99|0.98|0.98, company:0.91|0.91|0.91, address:0.96|0.85|0.90, date:0.71|0.89|0.79, total:0.26|0.96|0.41
epoch:31, loss: 0.092104973340476, other:0.99|0.97|0.98, company:0.84|0.94|0.89, address:0.91|0.86|0.89, date:0.69|0.90|0.78, total:0.35|0.88|0.50
epoch:32, loss: 0.08918594044667703, other:0.99|0.98|0.98, company:0.92|0.90|0.91, address:0.94|0.90|0.92, date:0.70|0.88|0.78, total:0.31|0.92|0.47
epoch:33, loss: 0.08570480305287573, other:0.99|0.97|0.98, company:0.92|0.90|0.91, address:0.91|0.94|0.93, date:0.75|0.90|0.82, total:0.26|0.94|0.41
epoch:34, loss: 0.08951977612795653, other:0.99|0.98|0.98, company:0.93|0.89|0.91, address:0.84|0.97|0.90, date:0.81|0.79|0.80, total:0.50|0.76|0.60
epoch:35, loss: 0.09355956867889122, other:0.98|0.98|0.98, company:0.94|0.88|0.91, address:0.91|0.93|0.92, date:0.80|0.83|0.81, total:0.71|0.54|0.61
epoch:36, loss: 0.09042087197303772, other:1.00|0.97|0.98, company:0.83|0.95|0.89, address:0.77|0.95|0.85, date:0.70|0.89|0.78, total:0.38|0.92|0.54
epoch:37, loss: 0.09636470427115758, other:0.97|0.99|0.98, company:0.85|0.95|0.90, address:0.96|0.84|0.90, date:0.84|0.75|0.79, total:0.72|0.57|0.64
epoch:38, loss: 0.09088142133421367, other:0.99|0.98|0.98, company:0.95|0.82|0.88, address:0.94|0.83|0.88, date:0.67|0.94|0.78, total:0.39|0.93|0.55
epoch:39, loss: 0.09458930017771544, other:0.99|0.98|0.98, company:0.88|0.94|0.91, address:0.97|0.86|0.91, date:0.84|0.80|0.82, total:0.17|0.98|0.29
epoch:40, loss: 0.08001443992058437, other:0.99|0.98|0.98, company:0.91|0.93|0.92, address:0.95|0.93|0.94, date:0.79|0.85|0.82, total:0.27|0.98|0.42
