epoch:0, loss: 0.6584629703451086, other:0.94|0.95|0.95, company:0.00|0.00|0.00, address:0.88|0.36|0.51, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.3048393627007802, other:0.91|0.96|0.93, company:0.00|0.00|0.00, address:0.95|0.30|0.46, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:2, loss: 0.24612155225541857, other:0.87|0.97|0.92, company:0.10|0.84|0.17, address:0.99|0.29|0.44, date:0.04|0.43|0.07, total:0.26|0.21|0.23
epoch:3, loss: 0.22644153347721807, other:0.82|0.98|0.89, company:0.26|0.71|0.38, address:0.98|0.30|0.45, date:0.30|0.23|0.26, total:0.42|0.16|0.23
epoch:4, loss: 0.19574969234289946, other:0.83|0.98|0.90, company:0.62|0.74|0.68, address:0.95|0.34|0.50, date:0.46|0.19|0.27, total:0.38|0.17|0.24
epoch:5, loss: 0.1660361193396427, other:0.84|0.98|0.91, company:0.69|0.82|0.75, address:0.96|0.38|0.55, date:0.56|0.18|0.27, total:0.33|0.21|0.26
epoch:6, loss: 0.15749840410771193, other:0.82|0.98|0.89, company:0.80|0.81|0.80, address:0.97|0.39|0.56, date:0.61|0.16|0.26, total:0.43|0.22|0.29
epoch:7, loss: 0.15091797405922855, other:0.81|0.98|0.89, company:0.74|0.85|0.79, address:0.98|0.39|0.56, date:0.68|0.16|0.26, total:0.52|0.23|0.32
epoch:8, loss: 0.14234561417941693, other:0.80|0.98|0.89, company:0.81|0.84|0.82, address:0.98|0.40|0.57, date:0.72|0.16|0.26, total:0.60|0.26|0.36
epoch:9, loss: 0.124245491568689, other:0.83|0.98|0.90, company:0.88|0.78|0.83, address:0.97|0.44|0.60, date:0.78|0.16|0.26, total:0.31|0.30|0.30
epoch:10, loss: 0.11979323404806631, other:0.81|0.99|0.89, company:0.92|0.69|0.79, address:0.95|0.45|0.62, date:0.82|0.17|0.28, total:0.61|0.25|0.36
epoch:11, loss: 0.13479101492298973, other:0.81|0.98|0.89, company:0.82|0.83|0.83, address:0.99|0.42|0.59, date:0.84|0.17|0.28, total:0.52|0.25|0.34
epoch:12, loss: 0.11976720199540809, other:0.83|0.98|0.90, company:0.88|0.82|0.85, address:0.98|0.47|0.64, date:0.85|0.16|0.27, total:0.31|0.29|0.30
epoch:13, loss: 0.102863984665385, other:0.82|0.99|0.90, company:0.94|0.70|0.80, address:0.96|0.47|0.63, date:0.86|0.18|0.29, total:0.58|0.30|0.39
epoch:14, loss: 0.136301730931909, other:0.78|0.99|0.87, company:0.93|0.74|0.82, address:0.97|0.46|0.63, date:0.90|0.15|0.26, total:0.71|0.25|0.37
epoch:15, loss: 0.151059924038472, other:0.77|0.99|0.86, company:0.95|0.69|0.80, address:0.96|0.43|0.59, date:0.90|0.15|0.25, total:0.75|0.26|0.39
epoch:16, loss: 0.11761488406746476, other:0.80|0.99|0.88, company:0.94|0.72|0.81, address:0.97|0.44|0.61, date:0.91|0.16|0.27, total:0.54|0.31|0.40
epoch:17, loss: 0.10542015276021427, other:0.81|0.99|0.89, company:0.91|0.75|0.82, address:0.99|0.44|0.61, date:0.87|0.19|0.31, total:0.60|0.27|0.37
epoch:18, loss: 0.12677039468178042, other:0.79|0.98|0.88, company:0.93|0.79|0.85, address:0.99|0.44|0.61, date:0.91|0.15|0.26, total:0.41|0.28|0.33
epoch:19, loss: 0.1028956185888361, other:0.80|0.99|0.89, company:0.91|0.80|0.85, address:0.99|0.47|0.64, date:0.92|0.16|0.27, total:0.58|0.31|0.40
epoch:20, loss: 0.11544602364301682, other:0.77|0.99|0.87, company:0.93|0.78|0.85, address:0.99|0.46|0.63, date:0.94|0.14|0.24, total:0.72|0.30|0.42
epoch:21, loss: 0.12629265959064165, other:0.77|0.99|0.87, company:0.92|0.75|0.83, address:0.99|0.48|0.65, date:0.96|0.13|0.23, total:0.66|0.31|0.42
epoch:22, loss: 0.10453232736499221, other:0.78|0.99|0.87, company:0.93|0.80|0.86, address:0.99|0.48|0.64, date:0.97|0.14|0.25, total:0.70|0.29|0.41
epoch:23, loss: 0.1378914399969357, other:0.76|1.00|0.86, company:0.97|0.65|0.78, address:0.97|0.45|0.62, date:0.95|0.15|0.25, total:0.88|0.26|0.40
epoch:24, loss: 0.09347826801240444, other:0.78|0.99|0.87, company:0.96|0.71|0.82, address:0.99|0.48|0.65, date:0.94|0.15|0.26, total:0.83|0.28|0.42
epoch:25, loss: 0.13147870037290785, other:0.75|1.00|0.85, company:0.97|0.66|0.79, address:0.97|0.47|0.64, date:0.97|0.13|0.23, total:0.87|0.27|0.41
epoch:26, loss: 0.11610254886801596, other:0.76|0.99|0.86, company:0.97|0.61|0.75, address:0.95|0.46|0.62, date:0.97|0.14|0.24, total:0.73|0.31|0.43
epoch:27, loss: 0.13326687855577027, other:0.75|1.00|0.86, company:0.97|0.64|0.77, address:0.96|0.45|0.61, date:0.97|0.14|0.24, total:0.86|0.28|0.42
epoch:28, loss: 0.09098728242571708, other:0.79|0.99|0.88, company:0.97|0.70|0.81, address:0.98|0.47|0.63, date:0.94|0.15|0.26, total:0.70|0.34|0.46
epoch:29, loss: 0.0945275582511116, other:0.78|0.99|0.87, company:0.96|0.75|0.84, address:0.99|0.50|0.67, date:0.98|0.13|0.24, total:0.63|0.36|0.46
epoch:30, loss: 0.11711976145980535, other:0.75|1.00|0.86, company:0.96|0.77|0.85, address:0.99|0.47|0.64, date:0.99|0.13|0.24, total:0.87|0.30|0.44
epoch:31, loss: 0.12635668049807902, other:0.75|0.99|0.86, company:0.96|0.78|0.86, address:0.99|0.47|0.64, date:0.99|0.13|0.22, total:0.79|0.31|0.45
epoch:32, loss: 0.0837538130581379, other:0.80|0.99|0.88, company:0.96|0.68|0.80, address:0.99|0.47|0.64, date:0.97|0.16|0.28, total:0.53|0.35|0.42
epoch:33, loss: 0.07925805028665948, other:0.79|0.99|0.88, company:0.96|0.73|0.83, address:0.99|0.47|0.64, date:0.96|0.16|0.27, total:0.78|0.33|0.46
epoch:34, loss: 0.07951998338103294, other:0.78|0.99|0.87, company:0.98|0.69|0.81, address:0.97|0.52|0.68, date:0.99|0.13|0.24, total:0.77|0.34|0.47
epoch:35, loss: 0.11049501549590517, other:0.77|0.99|0.86, company:0.97|0.72|0.83, address:0.99|0.52|0.68, date:0.98|0.12|0.22, total:0.65|0.35|0.45
