epoch:0, loss: 1.4042403123996876, other:1.00|0.90|0.95, company:0.00|0.00|0.00, address:0.04|0.31|0.07, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.9652376969655355, other:0.98|0.94|0.96, company:0.00|0.67|0.01, address:0.61|0.45|0.52, date:0.00|0.00|0.00, total:0.03|0.17|0.05
epoch:2, loss: 0.6885979109340243, other:0.86|0.97|0.91, company:0.33|0.63|0.44, address:0.92|0.36|0.52, date:0.03|0.24|0.05, total:0.51|0.14|0.22
epoch:3, loss: 0.5951396094428169, other:0.82|0.98|0.89, company:0.60|0.70|0.65, address:0.91|0.39|0.55, date:0.24|0.32|0.28, total:0.75|0.14|0.23
epoch:4, loss: 0.5402068793773651, other:0.83|0.98|0.90, company:0.74|0.68|0.71, address:0.89|0.42|0.57, date:0.40|0.35|0.37, total:0.75|0.15|0.25
epoch:5, loss: 0.4920743593463191, other:0.82|0.99|0.89, company:0.82|0.71|0.76, address:0.91|0.46|0.61, date:0.53|0.29|0.37, total:0.84|0.16|0.27
epoch:6, loss: 0.4676010310649872, other:0.81|0.99|0.89, company:0.83|0.68|0.75, address:0.91|0.44|0.60, date:0.58|0.30|0.40, total:0.89|0.16|0.27
epoch:7, loss: 0.42976147598690456, other:0.82|0.99|0.90, company:0.80|0.72|0.76, address:0.95|0.47|0.62, date:0.67|0.30|0.41, total:0.84|0.17|0.28
epoch:8, loss: 0.41564533335191234, other:0.82|0.99|0.90, company:0.87|0.66|0.75, address:0.92|0.47|0.62, date:0.72|0.29|0.41, total:0.85|0.18|0.30
epoch:9, loss: 0.41838978948416533, other:0.78|0.99|0.88, company:0.78|0.80|0.79, address:0.97|0.45|0.61, date:0.75|0.27|0.40, total:0.93|0.15|0.26
epoch:10, loss: 0.38525241834146007, other:0.84|0.99|0.91, company:0.68|0.83|0.75, address:0.97|0.48|0.64, date:0.74|0.29|0.42, total:0.84|0.20|0.33
epoch:11, loss: 0.35836829741795856, other:0.84|0.99|0.91, company:0.83|0.74|0.78, address:0.95|0.51|0.67, date:0.73|0.31|0.44, total:0.86|0.20|0.33
epoch:12, loss: 0.3541872004667918, other:0.83|0.99|0.90, company:0.81|0.82|0.81, address:0.97|0.49|0.65, date:0.78|0.31|0.44, total:0.89|0.19|0.31
epoch:13, loss: 0.34044040353209887, other:0.83|0.99|0.90, company:0.84|0.78|0.81, address:0.96|0.52|0.68, date:0.78|0.29|0.43, total:0.88|0.19|0.32
epoch:14, loss: 0.3503309267538565, other:0.80|0.99|0.89, company:0.88|0.72|0.79, address:0.95|0.51|0.66, date:0.82|0.28|0.42, total:0.95|0.16|0.28
epoch:15, loss: 0.33325184053844875, other:0.83|0.99|0.90, company:0.77|0.79|0.78, address:0.98|0.49|0.65, date:0.81|0.32|0.46, total:0.91|0.19|0.32
epoch:16, loss: 0.31669345608463995, other:0.82|0.99|0.90, company:0.88|0.76|0.82, address:0.97|0.50|0.66, date:0.81|0.34|0.48, total:0.93|0.18|0.31
epoch:17, loss: 0.3409099269796301, other:0.82|0.99|0.90, company:0.66|0.83|0.73, address:0.99|0.50|0.66, date:0.86|0.28|0.42, total:0.91|0.19|0.32
epoch:18, loss: 0.3060188552847615, other:0.84|0.99|0.91, company:0.81|0.84|0.82, address:0.98|0.51|0.67, date:0.79|0.37|0.50, total:0.92|0.20|0.32
epoch:19, loss: 0.3017851346068912, other:0.83|0.99|0.90, company:0.92|0.70|0.80, address:0.96|0.53|0.68, date:0.84|0.35|0.50, total:0.95|0.18|0.31
epoch:20, loss: 0.29140774022649835, other:0.83|0.99|0.90, company:0.92|0.69|0.79, address:0.96|0.54|0.69, date:0.85|0.34|0.48, total:0.94|0.19|0.31
epoch:21, loss: 0.29947660863399506, other:0.83|0.99|0.91, company:0.81|0.83|0.82, address:0.99|0.53|0.69, date:0.90|0.27|0.42, total:0.88|0.21|0.34
epoch:22, loss: 0.2877900512130172, other:0.83|0.99|0.90, company:0.86|0.80|0.83, address:0.98|0.54|0.70, date:0.89|0.28|0.42, total:0.92|0.21|0.34
epoch:23, loss: 0.2976311395565669, other:0.82|1.00|0.90, company:0.82|0.84|0.83, address:0.99|0.53|0.69, date:0.90|0.30|0.45, total:0.95|0.18|0.30
epoch:24, loss: 0.26997511364795546, other:0.84|0.99|0.91, company:0.91|0.72|0.81, address:0.97|0.59|0.73, date:0.88|0.34|0.49, total:0.93|0.20|0.33
epoch:25, loss: 0.2715043353813666, other:0.85|0.99|0.92, company:0.87|0.81|0.84, address:0.98|0.58|0.73, date:0.89|0.32|0.47, total:0.91|0.22|0.35
epoch:26, loss: 0.28403507945714174, other:0.83|1.00|0.90, company:0.84|0.82|0.83, address:0.99|0.54|0.70, date:0.90|0.34|0.49, total:0.94|0.19|0.31
epoch:27, loss: 0.2865928284547947, other:0.85|0.99|0.92, company:0.76|0.84|0.80, address:0.98|0.59|0.74, date:0.90|0.32|0.47, total:0.91|0.22|0.35
epoch:28, loss: 0.2544933916242034, other:0.85|0.99|0.92, company:0.92|0.74|0.82, address:0.97|0.60|0.74, date:0.88|0.38|0.53, total:0.93|0.21|0.34
epoch:29, loss: 0.2607507578752659, other:0.85|1.00|0.92, company:0.86|0.84|0.85, address:0.99|0.61|0.75, date:0.89|0.36|0.51, total:0.94|0.20|0.33
epoch:30, loss: 0.24451523191399044, other:0.86|1.00|0.92, company:0.92|0.79|0.85, address:0.97|0.63|0.77, date:0.91|0.34|0.50, total:0.92|0.22|0.36
epoch:31, loss: 0.2883902159002092, other:0.84|1.00|0.91, company:0.72|0.82|0.77, address:0.99|0.57|0.72, date:0.91|0.33|0.49, total:0.95|0.19|0.32
epoch:32, loss: 0.24859118627177346, other:0.85|1.00|0.92, company:0.91|0.77|0.83, address:0.98|0.61|0.76, date:0.94|0.30|0.45, total:0.92|0.23|0.36
epoch:33, loss: 0.2613444996100885, other:0.86|1.00|0.92, company:0.79|0.83|0.81, address:0.99|0.58|0.73, date:0.92|0.38|0.54, total:0.94|0.22|0.36
epoch:34, loss: 0.24236975720635168, other:0.86|1.00|0.92, company:0.86|0.81|0.84, address:0.99|0.58|0.73, date:0.90|0.43|0.58, total:0.94|0.22|0.35
epoch:35, loss: 0.24153680271572536, other:0.85|1.00|0.92, company:0.92|0.75|0.83, address:0.98|0.61|0.75, date:0.92|0.36|0.52, total:0.95|0.21|0.34
epoch:36, loss: 0.23327459394931793, other:0.88|0.99|0.94, company:0.89|0.80|0.84, address:0.98|0.63|0.77, date:0.89|0.42|0.57, total:0.89|0.25|0.39
epoch:37, loss: 0.2724841711697755, other:0.86|1.00|0.92, company:0.73|0.83|0.78, address:0.98|0.60|0.75, date:0.90|0.35|0.50, total:0.93|0.22|0.36
epoch:38, loss: 0.2353880410944974, other:0.86|1.00|0.92, company:0.93|0.77|0.85, address:0.98|0.63|0.77, date:0.93|0.36|0.52, total:0.95|0.22|0.35
epoch:39, loss: 0.23558154426239156, other:0.86|1.00|0.92, company:0.90|0.78|0.84, address:0.98|0.65|0.78, date:0.93|0.34|0.50, total:0.94|0.23|0.37
epoch:40, loss: 0.24683263456379925, other:0.86|1.00|0.92, company:0.85|0.84|0.85, address:0.99|0.65|0.78, date:0.92|0.35|0.51, total:0.95|0.22|0.36
epoch:41, loss: 0.24178703239670507, other:0.84|1.00|0.91, company:0.90|0.81|0.85, address:0.99|0.65|0.78, date:0.94|0.32|0.47, total:0.96|0.20|0.33
epoch:42, loss: 0.25840932682708456, other:0.84|1.00|0.91, company:0.81|0.83|0.82, address:1.00|0.58|0.73, date:0.94|0.32|0.47, total:0.95|0.22|0.35
epoch:43, loss: 0.226316934382474, other:0.89|0.99|0.94, company:0.90|0.83|0.86, address:0.96|0.72|0.82, date:0.93|0.38|0.54, total:0.92|0.25|0.39
epoch:44, loss: 0.2275496815089826, other:0.87|1.00|0.93, company:0.87|0.83|0.85, address:0.99|0.64|0.77, date:0.93|0.39|0.55, total:0.93|0.24|0.39
epoch:45, loss: 0.22247504304956506, other:0.86|1.00|0.93, company:0.92|0.80|0.85, address:0.98|0.67|0.79, date:0.93|0.40|0.56, total:0.96|0.21|0.35
epoch:46, loss: 0.2133024329388583, other:0.88|1.00|0.93, company:0.91|0.82|0.86, address:0.99|0.63|0.77, date:0.93|0.44|0.59, total:0.93|0.24|0.38
epoch:47, loss: 0.22619284137531562, other:0.89|1.00|0.94, company:0.83|0.84|0.84, address:0.99|0.67|0.80, date:0.94|0.38|0.55, total:0.92|0.26|0.40
epoch:48, loss: 0.21646463650244255, other:0.88|1.00|0.93, company:0.90|0.83|0.87, address:0.98|0.67|0.80, date:0.91|0.41|0.57, total:0.95|0.24|0.38
epoch:49, loss: 0.22227745475592436, other:0.88|1.00|0.94, company:0.86|0.81|0.84, address:0.99|0.66|0.79, date:0.92|0.44|0.60, total:0.94|0.25|0.39
epoch:50, loss: 0.2090301596456104, other:0.89|1.00|0.94, company:0.92|0.80|0.86, address:0.99|0.71|0.82, date:0.90|0.47|0.61, total:0.93|0.24|0.38
epoch:51, loss: 0.2154327658591447, other:0.88|1.00|0.94, company:0.90|0.83|0.86, address:0.99|0.67|0.80, date:0.93|0.40|0.56, total:0.93|0.26|0.40
epoch:52, loss: 0.21845273894292336, other:0.86|1.00|0.92, company:0.92|0.80|0.85, address:0.99|0.68|0.81, date:0.93|0.40|0.56, total:0.97|0.20|0.34
epoch:53, loss: 0.21149857342243195, other:0.88|1.00|0.93, company:0.90|0.82|0.86, address:0.99|0.66|0.79, date:0.95|0.38|0.54, total:0.94|0.26|0.40
epoch:54, loss: 0.2072406510512034, other:0.88|1.00|0.94, company:0.90|0.82|0.86, address:0.99|0.64|0.78, date:0.94|0.43|0.59, total:0.94|0.26|0.41
epoch:55, loss: 0.2043868667549557, other:0.87|1.00|0.93, company:0.92|0.82|0.87, address:0.99|0.68|0.81, date:0.95|0.39|0.55, total:0.95|0.23|0.37
epoch:56, loss: 0.19852163118344765, other:0.88|1.00|0.93, company:0.94|0.78|0.85, address:0.99|0.68|0.81, date:0.94|0.42|0.58, total:0.95|0.23|0.38
epoch:57, loss: 0.19731189807256064, other:0.90|1.00|0.94, company:0.91|0.83|0.87, address:0.99|0.67|0.80, date:0.91|0.48|0.63, total:0.92|0.27|0.42
epoch:58, loss: 0.20653724173704782, other:0.89|1.00|0.94, company:0.91|0.82|0.87, address:0.97|0.74|0.84, date:0.93|0.42|0.58, total:0.94|0.25|0.40
epoch:59, loss: 0.18981718520323435, other:0.90|1.00|0.94, company:0.91|0.83|0.87, address:0.99|0.68|0.81, date:0.93|0.47|0.63, total:0.94|0.27|0.42
epoch:60, loss: 0.19335363143020207, other:0.88|1.00|0.94, company:0.92|0.81|0.86, address:0.99|0.68|0.81, date:0.94|0.40|0.56, total:0.94|0.26|0.41
epoch:61, loss: 0.1846299452914132, other:0.89|1.00|0.94, company:0.93|0.80|0.86, address:0.99|0.70|0.82, date:0.94|0.41|0.58, total:0.93|0.28|0.43
epoch:62, loss: 0.19147683900815468, other:0.88|1.00|0.93, company:0.96|0.77|0.86, address:0.98|0.67|0.80, date:0.95|0.43|0.59, total:0.96|0.24|0.38
epoch:63, loss: 0.19212688008944193, other:0.89|1.00|0.94, company:0.92|0.81|0.86, address:0.99|0.65|0.79, date:0.94|0.44|0.60, total:0.95|0.26|0.41
epoch:64, loss: 0.19460084592854535, other:0.87|1.00|0.93, company:0.95|0.78|0.86, address:0.99|0.69|0.81, date:0.95|0.40|0.56, total:0.96|0.23|0.38
epoch:65, loss: 0.18615269385002278, other:0.88|1.00|0.94, company:0.94|0.80|0.86, address:0.99|0.68|0.81, date:0.95|0.46|0.62, total:0.95|0.24|0.39
epoch:66, loss: 0.18828915501082386, other:0.88|1.00|0.93, company:0.95|0.80|0.87, address:0.99|0.68|0.81, date:0.95|0.44|0.60, total:0.95|0.23|0.38
epoch:67, loss: 0.18553952320858283, other:0.88|1.00|0.94, company:0.94|0.79|0.86, address:0.99|0.69|0.81, date:0.96|0.42|0.58, total:0.95|0.25|0.40
epoch:68, loss: 0.18580744663874307, other:0.89|1.00|0.94, company:0.95|0.78|0.85, address:0.99|0.69|0.81, date:0.96|0.45|0.61, total:0.94|0.26|0.40
epoch:69, loss: 0.19356330622125556, other:0.88|1.00|0.93, company:0.93|0.82|0.87, address:1.00|0.64|0.78, date:0.95|0.46|0.62, total:0.95|0.24|0.38
epoch:70, loss: 0.19140867668169517, other:0.89|1.00|0.94, company:0.90|0.82|0.86, address:0.99|0.70|0.82, date:0.96|0.42|0.58, total:0.94|0.26|0.41
epoch:71, loss: 0.192318437827958, other:0.88|1.00|0.94, company:0.90|0.83|0.86, address:0.99|0.67|0.80, date:0.95|0.46|0.62, total:0.96|0.25|0.39
epoch:72, loss: 0.17604498234060076, other:0.89|1.00|0.94, company:0.94|0.82|0.88, address:0.99|0.70|0.82, date:0.95|0.47|0.63, total:0.95|0.26|0.41
epoch:73, loss: 0.19191996256510416, other:0.88|1.00|0.93, company:0.93|0.82|0.87, address:0.99|0.71|0.83, date:0.97|0.40|0.56, total:0.97|0.23|0.37
epoch:74, loss: 0.18188776379382168, other:0.90|1.00|0.95, company:0.92|0.82|0.87, address:0.99|0.71|0.83, date:0.94|0.49|0.65, total:0.95|0.27|0.41
epoch:75, loss: 0.17366359576031012, other:0.89|1.00|0.94, company:0.96|0.78|0.86, address:0.99|0.71|0.83, date:0.96|0.47|0.63, total:0.95|0.25|0.40
epoch:76, loss: 0.18605306247870126, other:0.88|1.00|0.93, company:0.92|0.82|0.87, address:1.00|0.67|0.80, date:0.97|0.40|0.57, total:0.96|0.24|0.39
epoch:77, loss: 0.16886044983510617, other:0.90|1.00|0.95, company:0.95|0.82|0.88, address:0.99|0.72|0.84, date:0.95|0.47|0.63, total:0.95|0.27|0.42
epoch:78, loss: 0.17830790689697973, other:0.89|1.00|0.94, company:0.93|0.82|0.87, address:0.99|0.71|0.83, date:0.97|0.46|0.62, total:0.95|0.25|0.39
epoch:79, loss: 0.18207475018722039, other:0.91|1.00|0.95, company:0.88|0.86|0.87, address:0.99|0.73|0.84, date:0.96|0.48|0.64, total:0.94|0.29|0.45
epoch:80, loss: 0.16893560880864109, other:0.89|1.00|0.94, company:0.94|0.81|0.87, address:0.99|0.72|0.83, date:0.96|0.49|0.65, total:0.95|0.25|0.40
epoch:81, loss: 0.16663498707391597, other:0.91|1.00|0.95, company:0.95|0.80|0.87, address:0.99|0.72|0.83, date:0.95|0.51|0.66, total:0.91|0.31|0.46
epoch:82, loss: 0.18320948161460734, other:0.88|1.00|0.94, company:0.89|0.83|0.86, address:1.00|0.69|0.81, date:0.96|0.45|0.62, total:0.96|0.24|0.39
epoch:83, loss: 0.1721957281783775, other:0.88|1.00|0.94, company:0.94|0.82|0.88, address:0.99|0.71|0.83, date:0.97|0.42|0.59, total:0.96|0.25|0.40
epoch:84, loss: 0.1610701291097535, other:0.90|1.00|0.95, company:0.94|0.83|0.88, address:0.99|0.74|0.85, date:0.97|0.48|0.64, total:0.94|0.28|0.43
epoch:85, loss: 0.1566305720695743, other:0.90|1.00|0.95, company:0.97|0.80|0.88, address:0.99|0.73|0.84, date:0.97|0.51|0.66, total:0.95|0.27|0.43
epoch:86, loss: 0.16489876227246392, other:0.91|1.00|0.95, company:0.91|0.82|0.86, address:0.99|0.74|0.84, date:0.97|0.48|0.64, total:0.93|0.30|0.45
epoch:87, loss: 0.17182321184211308, other:0.88|1.00|0.94, company:0.98|0.77|0.86, address:0.99|0.73|0.84, date:0.98|0.37|0.54, total:0.95|0.26|0.41
epoch:88, loss: 0.1520965168321574, other:0.91|1.00|0.95, company:0.97|0.80|0.88, address:0.99|0.78|0.87, date:0.97|0.52|0.68, total:0.95|0.27|0.43
epoch:89, loss: 0.15606732169787088, other:0.91|1.00|0.95, company:0.92|0.85|0.88, address:0.99|0.75|0.86, date:0.97|0.52|0.68, total:0.94|0.30|0.45
epoch:90, loss: 0.16459261763978889, other:0.89|1.00|0.94, company:0.96|0.80|0.87, address:0.99|0.74|0.85, date:0.97|0.44|0.60, total:0.96|0.25|0.40
epoch:91, loss: 0.16140609151787227, other:0.90|1.00|0.95, company:0.92|0.83|0.87, address:0.99|0.72|0.83, date:0.97|0.49|0.66, total:0.95|0.29|0.44
epoch:92, loss: 0.15111310255748253, other:0.91|1.00|0.95, company:0.96|0.81|0.88, address:0.99|0.74|0.85, date:0.97|0.51|0.67, total:0.95|0.29|0.44
epoch:93, loss: 0.16308226684729257, other:0.91|1.00|0.95, company:0.93|0.83|0.87, address:0.99|0.76|0.86, date:0.97|0.46|0.63, total:0.95|0.29|0.45
epoch:94, loss: 0.15376455005672243, other:0.90|1.00|0.95, company:0.96|0.82|0.89, address:0.99|0.72|0.84, date:0.97|0.50|0.66, total:0.97|0.27|0.43
epoch:95, loss: 0.1550417967416622, other:0.90|1.00|0.95, company:0.96|0.82|0.88, address:0.99|0.75|0.86, date:0.97|0.49|0.65, total:0.97|0.26|0.41
epoch:96, loss: 0.15410365743769538, other:0.90|1.00|0.95, company:0.97|0.79|0.87, address:0.99|0.78|0.87, date:0.98|0.44|0.60, total:0.94|0.29|0.44
epoch:97, loss: 0.1617705532246166, other:0.89|1.00|0.94, company:0.94|0.80|0.86, address:1.00|0.72|0.84, date:0.97|0.47|0.63, total:0.97|0.26|0.41
epoch:98, loss: 0.15167193556273426, other:0.90|1.00|0.95, company:0.98|0.79|0.87, address:0.99|0.75|0.85, date:0.97|0.50|0.66, total:0.97|0.26|0.42
epoch:99, loss: 0.1559262239822635, other:0.92|1.00|0.96, company:0.95|0.82|0.88, address:0.98|0.81|0.89, date:0.97|0.50|0.66, total:0.94|0.31|0.47
epoch:100, loss: 0.14403209780101422, other:0.91|1.00|0.95, company:0.96|0.83|0.89, address:0.99|0.76|0.86, date:0.97|0.52|0.68, total:0.96|0.30|0.45
epoch:101, loss: 0.14421044510823708, other:0.91|1.00|0.95, company:0.96|0.82|0.89, address:0.99|0.75|0.85, date:0.98|0.51|0.67, total:0.97|0.28|0.44
epoch:102, loss: 0.14402462348893838, other:0.91|1.00|0.95, company:0.96|0.82|0.89, address:0.99|0.76|0.86, date:0.98|0.50|0.66, total:0.95|0.30|0.45
