epoch:0, loss: 1.4100288770816944, other:1.00|0.89|0.94, company:0.00|0.00|0.00, address:0.00|0.00|0.00, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 1.0460633569293551, other:0.99|0.92|0.95, company:0.00|0.00|0.00, address:0.37|0.50|0.42, date:0.00|0.00|0.00, total:0.01|0.26|0.02
epoch:2, loss: 0.690696758252603, other:0.90|0.96|0.93, company:0.23|0.68|0.34, address:0.92|0.39|0.55, date:0.01|0.17|0.02, total:0.37|0.16|0.23
epoch:3, loss: 0.6063337546807749, other:0.83|0.97|0.90, company:0.45|0.70|0.55, address:0.94|0.38|0.54, date:0.20|0.27|0.23, total:0.67|0.14|0.24
epoch:4, loss: 0.546670181883706, other:0.83|0.98|0.90, company:0.70|0.65|0.67, address:0.87|0.42|0.56, date:0.40|0.28|0.33, total:0.73|0.15|0.24
epoch:5, loss: 0.5110690284658361, other:0.80|0.99|0.88, company:0.74|0.68|0.71, address:0.90|0.42|0.57, date:0.50|0.29|0.36, total:0.87|0.14|0.25
epoch:6, loss: 0.49623246435765866, other:0.81|0.99|0.89, company:0.88|0.59|0.71, address:0.84|0.41|0.55, date:0.60|0.29|0.39, total:0.84|0.16|0.27
epoch:7, loss: 0.4565973436390912, other:0.81|0.99|0.89, company:0.70|0.76|0.73, address:0.96|0.45|0.62, date:0.63|0.27|0.38, total:0.88|0.16|0.27
epoch:8, loss: 0.431118404423749, other:0.81|0.99|0.89, company:0.80|0.75|0.77, address:0.94|0.45|0.61, date:0.61|0.33|0.43, total:0.87|0.16|0.27
epoch:9, loss: 0.4114084541797638, other:0.84|0.99|0.91, company:0.76|0.77|0.77, address:0.95|0.50|0.65, date:0.71|0.28|0.40, total:0.81|0.20|0.32
epoch:10, loss: 0.40155863210007, other:0.81|0.99|0.89, company:0.73|0.80|0.76, address:0.97|0.46|0.63, date:0.72|0.29|0.41, total:0.88|0.17|0.28
epoch:11, loss: 0.3910131476543568, other:0.81|0.99|0.89, company:0.81|0.78|0.80, address:0.97|0.46|0.62, date:0.75|0.28|0.41, total:0.88|0.18|0.29
epoch:12, loss: 0.3683814152523323, other:0.84|0.99|0.91, company:0.77|0.79|0.78, address:0.97|0.49|0.65, date:0.75|0.29|0.42, total:0.85|0.20|0.32
epoch:13, loss: 0.36319126685460407, other:0.81|0.99|0.89, company:0.88|0.72|0.79, address:0.96|0.47|0.63, date:0.74|0.32|0.44, total:0.89|0.17|0.29
epoch:14, loss: 0.3592936087537695, other:0.81|0.99|0.89, company:0.78|0.80|0.79, address:0.98|0.48|0.65, date:0.82|0.27|0.40, total:0.90|0.19|0.31
epoch:15, loss: 0.3403601778878106, other:0.83|0.99|0.91, company:0.77|0.78|0.77, address:0.98|0.50|0.67, date:0.77|0.30|0.44, total:0.87|0.20|0.32
epoch:16, loss: 0.32219803388471957, other:0.84|0.99|0.91, company:0.90|0.72|0.80, address:0.96|0.52|0.68, date:0.81|0.30|0.44, total:0.87|0.20|0.33
epoch:17, loss: 0.31549462565669306, other:0.83|0.99|0.91, company:0.87|0.78|0.82, address:0.97|0.52|0.68, date:0.80|0.31|0.45, total:0.90|0.20|0.33
epoch:18, loss: 0.31332836162160943, other:0.83|0.99|0.91, company:0.88|0.78|0.83, address:0.96|0.54|0.69, date:0.81|0.31|0.45, total:0.92|0.19|0.32
epoch:19, loss: 0.32250644652931776, other:0.83|0.99|0.90, company:0.78|0.82|0.80, address:0.98|0.55|0.70, date:0.88|0.26|0.40, total:0.90|0.20|0.32
epoch:20, loss: 0.31786878572569954, other:0.81|1.00|0.89, company:0.82|0.78|0.80, address:0.98|0.51|0.67, date:0.89|0.28|0.43, total:0.94|0.18|0.30
epoch:21, loss: 0.30147213130085554, other:0.84|0.99|0.91, company:0.87|0.78|0.82, address:0.98|0.52|0.68, date:0.88|0.29|0.43, total:0.86|0.23|0.37
epoch:22, loss: 0.2978064754494914, other:0.86|0.99|0.92, company:0.77|0.80|0.78, address:0.98|0.55|0.70, date:0.82|0.34|0.48, total:0.86|0.22|0.34
epoch:23, loss: 0.3114351768184591, other:0.82|1.00|0.90, company:0.77|0.81|0.78, address:0.99|0.52|0.69, date:0.90|0.29|0.44, total:0.93|0.19|0.32
epoch:24, loss: 0.27868460339528545, other:0.84|0.99|0.91, company:0.89|0.77|0.82, address:0.97|0.61|0.75, date:0.87|0.32|0.47, total:0.94|0.19|0.32
epoch:25, loss: 0.27529137222855177, other:0.84|0.99|0.91, company:0.91|0.76|0.83, address:0.98|0.55|0.70, date:0.87|0.33|0.48, total:0.92|0.21|0.35
epoch:26, loss: 0.27475632782335635, other:0.83|1.00|0.91, company:0.90|0.76|0.82, address:0.98|0.57|0.72, date:0.91|0.31|0.46, total:0.94|0.20|0.33
epoch:27, loss: 0.2647614473545993, other:0.87|0.99|0.93, company:0.86|0.81|0.84, address:0.99|0.58|0.73, date:0.86|0.38|0.52, total:0.88|0.23|0.37
epoch:28, loss: 0.2631849784542013, other:0.85|0.99|0.92, company:0.91|0.74|0.82, address:0.98|0.57|0.72, date:0.89|0.35|0.50, total:0.93|0.21|0.35
epoch:29, loss: 0.25985891841076036, other:0.85|1.00|0.92, company:0.90|0.78|0.83, address:0.98|0.62|0.76, date:0.91|0.34|0.49, total:0.93|0.21|0.34
epoch:30, loss: 0.2617610875103209, other:0.85|0.99|0.92, company:0.86|0.82|0.84, address:0.98|0.60|0.75, date:0.91|0.32|0.48, total:0.91|0.22|0.35
epoch:31, loss: 0.25497900280687547, other:0.85|1.00|0.92, company:0.92|0.77|0.84, address:0.97|0.61|0.75, date:0.91|0.34|0.49, total:0.93|0.22|0.35
epoch:32, loss: 0.25925334239447556, other:0.84|1.00|0.91, company:0.90|0.79|0.84, address:0.99|0.59|0.74, date:0.92|0.36|0.51, total:0.96|0.19|0.31
epoch:33, loss: 0.2514104467851144, other:0.85|1.00|0.92, company:0.93|0.74|0.83, address:0.97|0.59|0.74, date:0.93|0.33|0.49, total:0.93|0.22|0.36
epoch:34, loss: 0.25085560646322036, other:0.85|1.00|0.92, company:0.89|0.76|0.82, address:0.98|0.64|0.77, date:0.92|0.35|0.51, total:0.95|0.21|0.34
epoch:35, loss: 0.24957060041251006, other:0.86|1.00|0.92, company:0.89|0.78|0.83, address:0.99|0.60|0.75, date:0.93|0.33|0.49, total:0.91|0.24|0.37
epoch:36, loss: 0.24511903634777776, other:0.88|0.99|0.93, company:0.86|0.81|0.83, address:0.98|0.64|0.77, date:0.91|0.39|0.55, total:0.90|0.24|0.38
epoch:37, loss: 0.24251882124830176, other:0.86|1.00|0.92, company:0.90|0.82|0.86, address:0.98|0.66|0.79, date:0.94|0.33|0.48, total:0.93|0.22|0.36
epoch:38, loss: 0.24220126922483798, other:0.88|0.99|0.93, company:0.86|0.81|0.84, address:0.97|0.69|0.80, date:0.90|0.42|0.57, total:0.92|0.23|0.37
epoch:39, loss: 0.2333939621845881, other:0.86|1.00|0.92, company:0.91|0.80|0.85, address:0.99|0.63|0.77, date:0.93|0.36|0.52, total:0.93|0.23|0.37
epoch:40, loss: 0.2409304799856963, other:0.88|0.99|0.93, company:0.87|0.82|0.84, address:0.98|0.66|0.79, date:0.94|0.35|0.51, total:0.89|0.27|0.41
epoch:41, loss: 0.23320742779307896, other:0.89|0.99|0.94, company:0.88|0.82|0.85, address:0.98|0.68|0.80, date:0.89|0.41|0.56, total:0.89|0.26|0.40
epoch:42, loss: 0.22404460277822283, other:0.87|1.00|0.93, company:0.94|0.76|0.84, address:0.97|0.70|0.82, date:0.93|0.38|0.54, total:0.93|0.23|0.36
epoch:43, loss: 0.23227907441280507, other:0.88|1.00|0.93, company:0.87|0.80|0.83, address:0.98|0.67|0.79, date:0.93|0.39|0.55, total:0.92|0.25|0.39
epoch:44, loss: 0.21701239546140036, other:0.87|1.00|0.93, company:0.92|0.78|0.84, address:0.99|0.61|0.76, date:0.92|0.42|0.58, total:0.95|0.23|0.38
epoch:45, loss: 0.2315734122638349, other:0.90|0.99|0.94, company:0.85|0.84|0.85, address:0.98|0.67|0.79, date:0.90|0.43|0.58, total:0.89|0.27|0.42
epoch:46, loss: 0.22626660377890975, other:0.87|1.00|0.93, company:0.90|0.82|0.86, address:0.99|0.66|0.79, date:0.95|0.36|0.52, total:0.94|0.23|0.37
epoch:47, loss: 0.22176065213150448, other:0.87|1.00|0.93, company:0.90|0.77|0.83, address:0.99|0.62|0.76, date:0.94|0.38|0.54, total:0.93|0.25|0.39
epoch:48, loss: 0.21013583408461678, other:0.88|1.00|0.93, company:0.94|0.73|0.82, address:0.98|0.67|0.79, date:0.94|0.38|0.54, total:0.91|0.27|0.41
epoch:49, loss: 0.2222687949736913, other:0.87|1.00|0.93, company:0.89|0.82|0.85, address:0.99|0.65|0.78, date:0.94|0.38|0.54, total:0.93|0.25|0.39
epoch:50, loss: 0.20696762093791254, other:0.89|1.00|0.94, company:0.91|0.82|0.86, address:0.98|0.73|0.83, date:0.92|0.40|0.55, total:0.93|0.26|0.40
epoch:51, loss: 0.21042486804502983, other:0.88|1.00|0.94, company:0.89|0.82|0.85, address:0.99|0.64|0.78, date:0.94|0.42|0.58, total:0.94|0.26|0.41
epoch:52, loss: 0.19873893150576838, other:0.89|1.00|0.94, company:0.94|0.76|0.84, address:0.98|0.72|0.83, date:0.96|0.39|0.56, total:0.91|0.27|0.42
epoch:53, loss: 0.20677067780936206, other:0.87|1.00|0.93, company:0.95|0.78|0.85, address:0.99|0.65|0.78, date:0.95|0.39|0.55, total:0.95|0.24|0.38
epoch:54, loss: 0.2097816743232586, other:0.90|1.00|0.94, company:0.90|0.80|0.85, address:0.99|0.69|0.81, date:0.93|0.43|0.59, total:0.90|0.27|0.42
epoch:55, loss: 0.24302894373734793, other:0.86|1.00|0.92, company:0.80|0.81|0.80, address:1.00|0.62|0.76, date:0.96|0.33|0.49, total:0.96|0.23|0.37
epoch:56, loss: 0.2113780986379694, other:0.88|1.00|0.93, company:0.94|0.77|0.85, address:0.98|0.70|0.82, date:0.93|0.40|0.56, total:0.93|0.23|0.37
epoch:57, loss: 0.21267676132696647, other:0.91|0.99|0.95, company:0.88|0.82|0.85, address:0.98|0.69|0.81, date:0.91|0.46|0.61, total:0.90|0.30|0.45
epoch:58, loss: 0.20327251763255508, other:0.89|1.00|0.94, company:0.91|0.81|0.86, address:0.98|0.71|0.83, date:0.94|0.40|0.57, total:0.91|0.26|0.40
epoch:59, loss: 0.19955593623496867, other:0.88|1.00|0.94, company:0.93|0.76|0.83, address:0.99|0.67|0.80, date:0.95|0.41|0.57, total:0.94|0.26|0.40
epoch:60, loss: 0.1975308424896664, other:0.88|1.00|0.94, company:0.92|0.72|0.81, address:0.99|0.67|0.80, date:0.94|0.44|0.60, total:0.94|0.26|0.41
epoch:61, loss: 0.20014567342069414, other:0.89|1.00|0.94, company:0.91|0.79|0.85, address:0.99|0.71|0.83, date:0.93|0.42|0.58, total:0.92|0.26|0.41
epoch:62, loss: 0.19193809396690792, other:0.88|1.00|0.94, company:0.93|0.78|0.85, address:0.99|0.69|0.81, date:0.95|0.42|0.58, total:0.96|0.25|0.40
epoch:63, loss: 0.1928219160547963, other:0.90|1.00|0.94, company:0.90|0.81|0.86, address:0.99|0.69|0.81, date:0.96|0.41|0.57, total:0.93|0.30|0.45
epoch:64, loss: 0.19233591026730007, other:0.89|1.00|0.94, company:0.90|0.81|0.85, address:0.99|0.69|0.81, date:0.96|0.42|0.58, total:0.95|0.27|0.42
epoch:65, loss: 0.1894383673314695, other:0.89|1.00|0.94, company:0.92|0.81|0.86, address:0.99|0.70|0.82, date:0.95|0.43|0.60, total:0.95|0.26|0.41
epoch:66, loss: 0.18668682321354194, other:0.89|1.00|0.94, company:0.94|0.72|0.81, address:0.99|0.67|0.80, date:0.94|0.45|0.61, total:0.92|0.28|0.43
epoch:67, loss: 0.19366143091961188, other:0.87|1.00|0.93, company:0.94|0.77|0.85, address:0.99|0.68|0.80, date:0.97|0.37|0.53, total:0.95|0.25|0.40
epoch:68, loss: 0.17586207389831543, other:0.91|1.00|0.95, company:0.94|0.79|0.86, address:0.99|0.71|0.83, date:0.92|0.51|0.66, total:0.92|0.29|0.45
epoch:69, loss: 0.21581289724067407, other:0.88|1.00|0.94, company:0.83|0.82|0.83, address:0.99|0.67|0.80, date:0.97|0.36|0.53, total:0.94|0.27|0.42
epoch:70, loss: 0.18797355228000218, other:0.89|1.00|0.94, company:0.92|0.79|0.85, address:0.99|0.71|0.83, date:0.96|0.42|0.58, total:0.94|0.26|0.40
epoch:71, loss: 0.19601471059852177, other:0.90|1.00|0.95, company:0.87|0.84|0.86, address:0.99|0.71|0.83, date:0.94|0.45|0.61, total:0.94|0.28|0.43
epoch:72, loss: 0.1872415895815249, other:0.89|1.00|0.94, company:0.94|0.80|0.87, address:0.99|0.71|0.82, date:0.95|0.40|0.56, total:0.95|0.26|0.41
epoch:73, loss: 0.1774141937494278, other:0.90|1.00|0.94, company:0.93|0.82|0.87, address:0.99|0.70|0.82, date:0.94|0.47|0.63, total:0.95|0.27|0.42
epoch:74, loss: 0.2046162971743831, other:0.89|1.00|0.94, company:0.84|0.83|0.83, address:0.99|0.70|0.82, date:0.96|0.43|0.59, total:0.95|0.26|0.41
epoch:75, loss: 0.18252616789605883, other:0.89|1.00|0.94, company:0.94|0.78|0.85, address:0.99|0.67|0.80, date:0.94|0.43|0.59, total:0.93|0.29|0.45
epoch:76, loss: 0.17955512470669216, other:0.91|1.00|0.95, company:0.91|0.82|0.86, address:0.99|0.70|0.82, date:0.95|0.47|0.63, total:0.89|0.32|0.47
epoch:77, loss: 0.18720265284732537, other:0.89|1.00|0.94, company:0.94|0.81|0.87, address:0.99|0.73|0.84, date:0.97|0.41|0.58, total:0.96|0.25|0.40
epoch:78, loss: 0.1747464206483629, other:0.90|1.00|0.95, company:0.96|0.76|0.84, address:0.99|0.70|0.82, date:0.96|0.46|0.62, total:0.93|0.29|0.44
epoch:79, loss: 0.18133208983474308, other:0.89|1.00|0.94, company:0.93|0.81|0.86, address:0.99|0.71|0.82, date:0.97|0.41|0.58, total:0.95|0.27|0.42
