epoch:0, loss: 1.3425566311235781, other:1.00|0.89|0.94, company:0.00|0.00|0.00, address:0.00|0.25|0.00, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.9326356870156748, other:0.98|0.93|0.96, company:0.00|0.00|0.00, address:0.54|0.45|0.49, date:0.00|0.00|0.00, total:0.02|0.15|0.03
epoch:2, loss: 0.6327618956565857, other:0.87|0.97|0.91, company:0.32|0.71|0.44, address:0.91|0.41|0.57, date:0.07|0.18|0.10, total:0.55|0.14|0.23
epoch:3, loss: 0.560952193207211, other:0.81|0.98|0.89, company:0.51|0.74|0.60, address:0.91|0.45|0.60, date:0.37|0.26|0.30, total:0.83|0.13|0.22
epoch:4, loss: 0.5244150890244378, other:0.82|0.98|0.89, company:0.84|0.55|0.67, address:0.80|0.41|0.54, date:0.50|0.29|0.37, total:0.76|0.15|0.25
epoch:5, loss: 0.48160678258648626, other:0.79|0.99|0.88, company:0.68|0.74|0.71, address:0.93|0.44|0.60, date:0.61|0.27|0.38, total:0.90|0.14|0.25
epoch:6, loss: 0.4500989218552907, other:0.81|0.99|0.89, company:0.82|0.68|0.74, address:0.90|0.46|0.60, date:0.62|0.29|0.40, total:0.89|0.15|0.26
epoch:7, loss: 0.4732925858762529, other:0.76|0.99|0.86, company:0.90|0.55|0.68, address:0.85|0.42|0.56, date:0.70|0.24|0.36, total:0.93|0.14|0.25
epoch:8, loss: 0.4082845228689688, other:0.82|0.99|0.89, company:0.78|0.75|0.77, address:0.95|0.46|0.62, date:0.75|0.27|0.39, total:0.84|0.18|0.30
epoch:9, loss: 0.3941715580445749, other:0.81|0.99|0.89, company:0.73|0.80|0.76, address:0.97|0.46|0.63, date:0.76|0.28|0.41, total:0.89|0.17|0.29
epoch:10, loss: 0.392417898884526, other:0.81|0.99|0.89, company:0.64|0.80|0.71, address:0.97|0.49|0.65, date:0.77|0.26|0.38, total:0.91|0.17|0.29
epoch:11, loss: 0.3733455814697124, other:0.81|0.99|0.89, company:0.76|0.76|0.76, address:0.98|0.47|0.64, date:0.77|0.29|0.43, total:0.89|0.17|0.29
epoch:12, loss: 0.37110734317037797, other:0.82|0.99|0.89, company:0.69|0.80|0.74, address:0.99|0.46|0.63, date:0.77|0.29|0.42, total:0.89|0.18|0.30
epoch:13, loss: 0.3525875983414827, other:0.82|0.99|0.90, company:0.75|0.82|0.78, address:0.97|0.50|0.66, date:0.80|0.27|0.41, total:0.88|0.18|0.30
