epoch:0, loss: 1.0921271642049153, other:0.98|0.93|0.96, company:0.35|0.57|0.43, address:0.47|0.47|0.47, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.8097162754447372, other:0.96|0.95|0.95, company:0.01|0.80|0.01, address:0.82|0.42|0.56, date:0.00|0.00|0.00, total:0.09|0.22|0.12
epoch:2, loss: 0.6544120907783508, other:0.87|0.97|0.92, company:0.28|0.68|0.40, address:0.93|0.38|0.53, date:0.13|0.23|0.16, total:0.46|0.17|0.24
epoch:3, loss: 0.5876507450033117, other:0.83|0.98|0.90, company:0.45|0.74|0.56, address:0.94|0.38|0.54, date:0.40|0.32|0.35, total:0.66|0.15|0.24
epoch:4, loss: 0.5398730779135669, other:0.85|0.98|0.91, company:0.54|0.79|0.64, address:0.94|0.44|0.60, date:0.38|0.26|0.31, total:0.63|0.16|0.26
epoch:5, loss: 0.5003249269944651, other:0.83|0.98|0.90, company:0.74|0.74|0.74, address:0.92|0.44|0.59, date:0.48|0.29|0.36, total:0.72|0.15|0.25
epoch:6, loss: 0.47410728092546817, other:0.84|0.98|0.91, company:0.85|0.67|0.75, address:0.90|0.44|0.59, date:0.52|0.29|0.37, total:0.68|0.18|0.28
epoch:7, loss: 0.4525517777160362, other:0.86|0.98|0.92, company:0.65|0.81|0.72, address:0.96|0.47|0.63, date:0.55|0.30|0.39, total:0.65|0.19|0.29
epoch:8, loss: 0.4235309483828368, other:0.83|0.98|0.90, company:0.79|0.80|0.80, address:0.96|0.47|0.63, date:0.55|0.36|0.43, total:0.80|0.16|0.27
epoch:9, loss: 0.40387116096637865, other:0.85|0.99|0.91, company:0.84|0.74|0.79, address:0.94|0.50|0.65, date:0.67|0.29|0.41, total:0.75|0.20|0.31
epoch:10, loss: 0.3926018642054664, other:0.82|0.99|0.90, company:0.78|0.81|0.80, address:0.97|0.49|0.65, date:0.70|0.31|0.43, total:0.87|0.17|0.29
epoch:11, loss: 0.3742129990348109, other:0.84|0.99|0.91, company:0.89|0.73|0.80, address:0.96|0.50|0.65, date:0.71|0.31|0.44, total:0.83|0.20|0.32
epoch:12, loss: 0.3570377341023198, other:0.86|0.99|0.92, company:0.89|0.74|0.81, address:0.95|0.53|0.68, date:0.71|0.31|0.43, total:0.77|0.23|0.35
epoch:13, loss: 0.3486632384635784, other:0.83|0.99|0.91, company:0.89|0.72|0.80, address:0.97|0.50|0.66, date:0.74|0.32|0.44, total:0.86|0.20|0.32
epoch:14, loss: 0.3415722714530097, other:0.83|0.99|0.90, company:0.89|0.74|0.81, address:0.97|0.52|0.67, date:0.77|0.30|0.43, total:0.89|0.20|0.32
