epoch:0, loss: 1.08546898983143, other:0.98|0.94|0.96, company:0.25|0.66|0.37, address:0.56|0.46|0.51, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.808940401783696, other:0.96|0.95|0.95, company:0.00|0.75|0.01, address:0.83|0.42|0.56, date:0.00|0.25|0.00, total:0.09|0.25|0.13
epoch:2, loss: 0.649164100488027, other:0.88|0.97|0.92, company:0.27|0.72|0.39, address:0.94|0.37|0.53, date:0.13|0.22|0.16, total:0.45|0.17|0.25
epoch:3, loss: 0.5771090454525418, other:0.83|0.98|0.90, company:0.48|0.77|0.59, address:0.95|0.39|0.55, date:0.40|0.31|0.35, total:0.67|0.15|0.24
epoch:4, loss: 0.5359761494177359, other:0.87|0.98|0.92, company:0.43|0.84|0.57, address:0.95|0.44|0.60, date:0.45|0.27|0.34, total:0.56|0.18|0.27
epoch:5, loss: 0.491553325344015, other:0.82|0.98|0.89, company:0.77|0.76|0.77, address:0.92|0.44|0.59, date:0.50|0.31|0.38, total:0.75|0.15|0.24
epoch:6, loss: 0.4628585930223818, other:0.83|0.98|0.90, company:0.88|0.68|0.77, address:0.92|0.44|0.60, date:0.52|0.30|0.38, total:0.73|0.16|0.27
epoch:7, loss: 0.4329502317640517, other:0.85|0.98|0.91, company:0.73|0.84|0.78, address:0.97|0.47|0.63, date:0.54|0.30|0.38, total:0.66|0.18|0.28
epoch:8, loss: 0.4090819877606851, other:0.83|0.98|0.90, company:0.79|0.85|0.82, address:0.97|0.46|0.63, date:0.55|0.33|0.41, total:0.80|0.16|0.27
epoch:9, loss: 0.3864375220404731, other:0.86|0.98|0.92, company:0.81|0.84|0.82, address:0.97|0.48|0.64, date:0.65|0.30|0.41, total:0.68|0.20|0.31
epoch:10, loss: 0.37027589700840136, other:0.83|0.99|0.90, company:0.84|0.81|0.82, address:0.97|0.48|0.65, date:0.69|0.32|0.44, total:0.84|0.18|0.30
epoch:11, loss: 0.3541773811534599, other:0.85|0.99|0.91, company:0.88|0.78|0.83, address:0.98|0.50|0.66, date:0.70|0.31|0.43, total:0.76|0.21|0.33
epoch:12, loss: 0.3453752045278196, other:0.85|0.99|0.92, company:0.84|0.80|0.82, address:0.98|0.51|0.67, date:0.71|0.32|0.44, total:0.79|0.21|0.34
epoch:13, loss: 0.33006721293484725, other:0.85|0.99|0.92, company:0.86|0.80|0.83, address:0.98|0.51|0.67, date:0.74|0.33|0.46, total:0.81|0.21|0.34
epoch:14, loss: 0.3260740786790848, other:0.84|0.99|0.91, company:0.88|0.79|0.83, address:0.98|0.51|0.67, date:0.77|0.30|0.43, total:0.86|0.21|0.33
epoch:15, loss: 0.3137473138394179, other:0.85|0.99|0.91, company:0.87|0.79|0.83, address:0.98|0.54|0.69, date:0.76|0.31|0.44, total:0.86|0.21|0.34
epoch:16, loss: 0.30610157935707655, other:0.85|0.99|0.92, company:0.88|0.79|0.83, address:0.98|0.55|0.71, date:0.77|0.32|0.45, total:0.84|0.22|0.34
epoch:17, loss: 0.30496143577275453, other:0.83|0.99|0.91, company:0.89|0.81|0.85, address:0.97|0.57|0.72, date:0.77|0.32|0.46, total:0.93|0.18|0.30
