epoch:0, loss: 1.0922194277798687, other:0.98|0.93|0.96, company:0.37|0.56|0.44, address:0.47|0.47|0.47, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 0.8097063170539008, other:0.95|0.95|0.95, company:0.00|0.75|0.01, address:0.82|0.42|0.56, date:0.00|0.00|0.00, total:0.09|0.22|0.13
epoch:2, loss: 0.6548571564533092, other:0.87|0.97|0.92, company:0.30|0.67|0.41, address:0.92|0.37|0.53, date:0.13|0.23|0.17, total:0.46|0.17|0.25
epoch:3, loss: 0.5893337748668812, other:0.83|0.98|0.90, company:0.44|0.73|0.55, address:0.94|0.38|0.54, date:0.40|0.31|0.35, total:0.66|0.15|0.24
epoch:4, loss: 0.540663257793144, other:0.85|0.98|0.91, company:0.56|0.78|0.65, address:0.93|0.44|0.59, date:0.38|0.27|0.32, total:0.63|0.17|0.26
epoch:5, loss: 0.5013950147010662, other:0.83|0.98|0.90, company:0.74|0.74|0.74, address:0.92|0.44|0.59, date:0.48|0.30|0.37, total:0.71|0.15|0.25
epoch:6, loss: 0.48016786244180465, other:0.84|0.98|0.91, company:0.86|0.64|0.74, address:0.89|0.44|0.59, date:0.52|0.29|0.37, total:0.68|0.18|0.28
epoch:7, loss: 0.4546701886035778, other:0.85|0.98|0.91, company:0.65|0.80|0.72, address:0.96|0.47|0.63, date:0.54|0.30|0.38, total:0.67|0.18|0.28
epoch:8, loss: 0.4260632439895912, other:0.83|0.99|0.90, company:0.80|0.79|0.79, address:0.96|0.46|0.62, date:0.56|0.35|0.43, total:0.79|0.16|0.27
epoch:9, loss: 0.4072275525993771, other:0.85|0.99|0.91, company:0.82|0.76|0.79, address:0.95|0.50|0.66, date:0.68|0.29|0.41, total:0.75|0.20|0.31
epoch:10, loss: 0.39665373387160124, other:0.82|0.99|0.90, company:0.77|0.81|0.79, address:0.97|0.48|0.65, date:0.70|0.31|0.43, total:0.88|0.17|0.29
epoch:11, loss: 0.3812663632410544, other:0.84|0.99|0.91, company:0.90|0.68|0.78, address:0.94|0.49|0.64, date:0.71|0.32|0.44, total:0.81|0.20|0.32
epoch:12, loss: 0.36049936104703834, other:0.86|0.99|0.92, company:0.89|0.72|0.80, address:0.95|0.52|0.67, date:0.70|0.33|0.45, total:0.76|0.23|0.35
epoch:13, loss: 0.35372403926319546, other:0.83|0.99|0.90, company:0.90|0.70|0.79, address:0.96|0.50|0.66, date:0.74|0.32|0.45, total:0.87|0.19|0.32
epoch:14, loss: 0.3465051971099995, other:0.83|0.99|0.90, company:0.87|0.76|0.81, address:0.97|0.51|0.67, date:0.77|0.30|0.43, total:0.90|0.19|0.32
epoch:15, loss: 0.32684124619872484, other:0.86|0.99|0.92, company:0.89|0.72|0.80, address:0.96|0.54|0.69, date:0.75|0.32|0.45, total:0.79|0.23|0.36
epoch:16, loss: 0.32242392886568, other:0.85|0.99|0.91, company:0.85|0.75|0.80, address:0.98|0.53|0.69, date:0.77|0.32|0.45, total:0.86|0.22|0.35
epoch:17, loss: 0.32848949509638325, other:0.84|0.99|0.91, company:0.80|0.82|0.81, address:0.98|0.53|0.68, date:0.79|0.32|0.45, total:0.91|0.19|0.32
epoch:18, loss: 0.34641849001248676, other:0.85|0.99|0.91, company:0.64|0.81|0.72, address:0.98|0.52|0.68, date:0.79|0.30|0.43, total:0.88|0.21|0.34
