epoch:0, loss: 1.4030033261687667, other:0.96|0.91|0.93, company:0.01|0.06|0.01, address:0.23|0.20|0.21, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 1.1127485434214275, other:0.99|0.92|0.95, company:0.01|0.67|0.03, address:0.33|0.42|0.37, date:0.00|0.00|0.00, total:0.00|0.17|0.00
epoch:2, loss: 0.7805366494037487, other:0.93|0.96|0.94, company:0.25|0.58|0.35, address:0.84|0.41|0.55, date:0.01|0.44|0.01, total:0.17|0.16|0.17
epoch:3, loss: 0.6784731436658789, other:0.86|0.97|0.91, company:0.57|0.56|0.56, address:0.90|0.35|0.50, date:0.07|0.30|0.11, total:0.41|0.15|0.22
epoch:4, loss: 0.6089742845959134, other:0.88|0.97|0.92, company:0.46|0.65|0.54, address:0.90|0.44|0.59, date:0.14|0.21|0.17, total:0.51|0.15|0.23
epoch:5, loss: 0.5665979120466444, other:0.84|0.98|0.90, company:0.63|0.68|0.65, address:0.93|0.40|0.56, date:0.35|0.27|0.30, total:0.61|0.16|0.25
epoch:6, loss: 0.5333764321274228, other:0.85|0.98|0.91, company:0.76|0.68|0.71, address:0.93|0.43|0.59, date:0.32|0.31|0.31, total:0.65|0.17|0.27
epoch:7, loss: 0.5094501033977226, other:0.85|0.98|0.91, company:0.55|0.74|0.63, address:0.95|0.44|0.60, date:0.39|0.29|0.33, total:0.66|0.17|0.27
epoch:8, loss: 0.4952750857229586, other:0.85|0.98|0.91, company:0.46|0.74|0.57, address:0.96|0.43|0.60, date:0.41|0.31|0.35, total:0.73|0.18|0.28
epoch:9, loss: 0.4671805092581996, other:0.86|0.98|0.92, company:0.67|0.76|0.72, address:0.93|0.47|0.62, date:0.51|0.28|0.36, total:0.69|0.20|0.32
epoch:10, loss: 0.4474527703391181, other:0.86|0.98|0.91, company:0.73|0.75|0.74, address:0.95|0.46|0.62, date:0.48|0.31|0.37, total:0.73|0.20|0.32
epoch:11, loss: 0.4558933244811164, other:0.86|0.98|0.92, company:0.48|0.74|0.58, address:0.96|0.45|0.61, date:0.54|0.30|0.39, total:0.76|0.22|0.35
epoch:12, loss: 0.4264388934329704, other:0.87|0.98|0.92, company:0.65|0.77|0.70, address:0.95|0.48|0.64, date:0.53|0.32|0.40, total:0.73|0.24|0.36
epoch:13, loss: 0.4042753113640679, other:0.84|0.99|0.91, company:0.80|0.77|0.78, address:0.96|0.48|0.64, date:0.64|0.30|0.41, total:0.82|0.20|0.32
epoch:14, loss: 0.39587988676848235, other:0.84|0.99|0.91, company:0.78|0.78|0.78, address:0.97|0.47|0.64, date:0.65|0.29|0.40, total:0.84|0.20|0.33
epoch:15, loss: 0.3760113098003246, other:0.86|0.99|0.92, company:0.80|0.78|0.79, address:0.96|0.50|0.66, date:0.62|0.33|0.43, total:0.79|0.23|0.35
epoch:16, loss: 0.37109795212745667, other:0.86|0.99|0.92, company:0.78|0.76|0.77, address:0.98|0.48|0.65, date:0.67|0.32|0.43, total:0.79|0.23|0.36
epoch:17, loss: 0.3586940191410206, other:0.85|0.99|0.91, company:0.84|0.78|0.81, address:0.97|0.48|0.64, date:0.68|0.35|0.46, total:0.82|0.22|0.35
epoch:18, loss: 0.35298590969156335, other:0.86|0.99|0.92, company:0.82|0.81|0.81, address:0.96|0.51|0.67, date:0.72|0.31|0.43, total:0.79|0.24|0.37
epoch:19, loss: 0.39198726415634155, other:0.85|0.99|0.91, company:0.57|0.81|0.67, address:0.96|0.52|0.67, date:0.78|0.27|0.40, total:0.87|0.21|0.34
epoch:20, loss: 0.34666506559760485, other:0.82|0.99|0.90, company:0.83|0.80|0.81, address:0.98|0.51|0.67, date:0.78|0.29|0.42, total:0.92|0.18|0.30
epoch:21, loss: 0.3304713412567421, other:0.85|0.99|0.91, company:0.83|0.81|0.82, address:0.98|0.50|0.66, date:0.78|0.31|0.45, total:0.84|0.23|0.36
epoch:22, loss: 0.3262849830918842, other:0.85|0.99|0.92, company:0.82|0.81|0.81, address:0.97|0.53|0.69, date:0.73|0.34|0.46, total:0.88|0.21|0.34
epoch:23, loss: 0.3539996952922256, other:0.84|0.99|0.91, company:0.66|0.80|0.73, address:0.98|0.52|0.68, date:0.82|0.29|0.43, total:0.90|0.20|0.33
epoch:24, loss: 0.2979982484270025, other:0.86|0.99|0.92, company:0.89|0.79|0.84, address:0.97|0.55|0.70, date:0.76|0.35|0.48, total:0.89|0.22|0.35
epoch:25, loss: 0.30330630198672964, other:0.84|0.99|0.91, company:0.90|0.78|0.84, address:0.99|0.50|0.66, date:0.78|0.36|0.49, total:0.91|0.21|0.34
epoch:26, loss: 0.3021626963659569, other:0.82|0.99|0.90, company:0.87|0.81|0.84, address:0.99|0.52|0.68, date:0.85|0.32|0.46, total:0.94|0.19|0.32
epoch:27, loss: 0.30176071049990477, other:0.84|0.99|0.91, company:0.84|0.80|0.82, address:0.98|0.52|0.68, date:0.76|0.38|0.50, total:0.93|0.20|0.33
epoch:28, loss: 0.2886083164700755, other:0.84|0.99|0.91, company:0.88|0.79|0.83, address:0.99|0.54|0.70, date:0.85|0.31|0.45, total:0.92|0.21|0.35
epoch:29, loss: 0.28118925182907667, other:0.87|0.99|0.92, company:0.82|0.82|0.82, address:0.98|0.55|0.71, date:0.81|0.36|0.50, total:0.87|0.24|0.38
epoch:30, loss: 0.2813687120322828, other:0.86|0.99|0.92, company:0.86|0.83|0.85, address:0.97|0.59|0.74, date:0.83|0.33|0.47, total:0.88|0.23|0.36
epoch:31, loss: 0.28383360692748316, other:0.84|0.99|0.91, company:0.94|0.73|0.82, address:0.95|0.53|0.68, date:0.86|0.33|0.48, total:0.93|0.21|0.34
epoch:32, loss: 0.2748193520086783, other:0.85|0.99|0.91, company:0.86|0.82|0.84, address:0.99|0.54|0.70, date:0.81|0.40|0.53, total:0.95|0.20|0.33
epoch:33, loss: 0.26996317009131116, other:0.85|0.99|0.92, company:0.95|0.71|0.81, address:0.96|0.53|0.68, date:0.87|0.36|0.51, total:0.90|0.23|0.37
epoch:34, loss: 0.27118750744395786, other:0.86|0.99|0.92, company:0.82|0.83|0.82, address:0.99|0.57|0.72, date:0.87|0.36|0.51, total:0.92|0.23|0.37
epoch:35, loss: 0.266660718454255, other:0.86|0.99|0.92, company:0.87|0.82|0.84, address:0.99|0.56|0.71, date:0.89|0.32|0.47, total:0.90|0.24|0.38
epoch:36, loss: 0.27732735761889704, other:0.88|0.99|0.93, company:0.77|0.82|0.80, address:0.99|0.59|0.74, date:0.88|0.38|0.53, total:0.89|0.25|0.40
epoch:37, loss: 0.24602159636991996, other:0.86|1.00|0.93, company:0.90|0.80|0.85, address:0.98|0.61|0.75, date:0.89|0.38|0.54, total:0.93|0.23|0.36
epoch:38, loss: 0.2581872404725463, other:0.87|0.99|0.93, company:0.86|0.82|0.84, address:0.97|0.63|0.76, date:0.84|0.44|0.57, total:0.94|0.21|0.35
epoch:39, loss: 0.25086156913527735, other:0.87|1.00|0.93, company:0.87|0.83|0.85, address:0.99|0.58|0.73, date:0.88|0.38|0.54, total:0.92|0.24|0.37
epoch:40, loss: 0.2639736947086122, other:0.88|0.99|0.93, company:0.81|0.83|0.82, address:0.98|0.61|0.75, date:0.92|0.34|0.50, total:0.88|0.27|0.41
epoch:41, loss: 0.24853048335622857, other:0.87|0.99|0.93, company:0.87|0.82|0.84, address:0.99|0.60|0.75, date:0.87|0.39|0.54, total:0.92|0.24|0.38
epoch:42, loss: 0.2359584305021498, other:0.88|0.99|0.93, company:0.90|0.82|0.86, address:0.98|0.63|0.77, date:0.86|0.44|0.58, total:0.92|0.24|0.38
epoch:43, loss: 0.23700726087446566, other:0.89|0.99|0.94, company:0.89|0.81|0.85, address:0.98|0.65|0.78, date:0.87|0.45|0.59, total:0.91|0.25|0.39
epoch:44, loss: 0.2327670747483218, other:0.86|1.00|0.92, company:0.93|0.79|0.86, address:0.99|0.58|0.73, date:0.89|0.44|0.59, total:0.95|0.22|0.36
epoch:45, loss: 0.2274550806593012, other:0.89|0.99|0.94, company:0.90|0.82|0.86, address:0.99|0.64|0.77, date:0.89|0.41|0.56, total:0.87|0.27|0.42
epoch:46, loss: 0.24760942878546538, other:0.86|1.00|0.92, company:0.89|0.83|0.86, address:0.99|0.54|0.70, date:0.90|0.36|0.52, total:0.94|0.24|0.38
epoch:47, loss: 0.22695734876173515, other:0.88|0.99|0.94, company:0.89|0.82|0.85, address:0.99|0.60|0.74, date:0.88|0.43|0.58, total:0.90|0.27|0.41
epoch:48, loss: 0.22079202091252362, other:0.88|1.00|0.93, company:0.91|0.80|0.85, address:0.99|0.60|0.75, date:0.91|0.42|0.57, total:0.93|0.27|0.41
epoch:49, loss: 0.22634200034318147, other:0.88|1.00|0.93, company:0.90|0.82|0.86, address:0.99|0.62|0.76, date:0.91|0.36|0.51, total:0.90|0.27|0.41
epoch:50, loss: 0.23981258659451096, other:0.90|0.99|0.94, company:0.83|0.84|0.84, address:0.96|0.68|0.80, date:0.90|0.45|0.60, total:0.91|0.27|0.41
epoch:51, loss: 0.21309083920937996, other:0.88|1.00|0.94, company:0.91|0.81|0.86, address:0.99|0.64|0.78, date:0.92|0.44|0.59, total:0.95|0.26|0.40
epoch:52, loss: 0.21032250313847153, other:0.88|1.00|0.94, company:0.92|0.81|0.86, address:0.99|0.65|0.78, date:0.92|0.42|0.58, total:0.94|0.26|0.40
epoch:53, loss: 0.2170458651251263, other:0.87|1.00|0.93, company:0.95|0.77|0.85, address:0.99|0.58|0.73, date:0.93|0.42|0.58, total:0.95|0.24|0.39
epoch:54, loss: 0.22432684346481604, other:0.90|0.99|0.94, company:0.86|0.84|0.85, address:0.98|0.65|0.78, date:0.90|0.43|0.59, total:0.90|0.29|0.44
epoch:55, loss: 0.23049233246732642, other:0.86|1.00|0.92, company:0.86|0.81|0.84, address:0.99|0.60|0.75, date:0.92|0.38|0.54, total:0.96|0.23|0.37
epoch:56, loss: 0.23109619595386363, other:0.85|1.00|0.92, company:0.92|0.79|0.85, address:0.99|0.59|0.74, date:0.94|0.33|0.49, total:0.95|0.24|0.38
epoch:57, loss: 0.22017979456318748, other:0.89|0.99|0.94, company:0.89|0.83|0.86, address:0.99|0.62|0.76, date:0.90|0.44|0.59, total:0.91|0.29|0.44
epoch:58, loss: 0.21287893365930627, other:0.89|1.00|0.94, company:0.88|0.84|0.86, address:0.99|0.63|0.77, date:0.92|0.44|0.60, total:0.93|0.26|0.41
epoch:59, loss: 0.2127707302570343, other:0.87|1.00|0.93, company:0.93|0.79|0.86, address:0.99|0.61|0.76, date:0.94|0.38|0.54, total:0.95|0.25|0.39
epoch:60, loss: 0.21082783186877216, other:0.88|1.00|0.94, company:0.90|0.81|0.85, address:0.99|0.61|0.75, date:0.92|0.46|0.61, total:0.94|0.26|0.41
epoch:61, loss: 0.2092435978077076, other:0.89|1.00|0.94, company:0.88|0.83|0.85, address:0.99|0.64|0.77, date:0.93|0.44|0.59, total:0.94|0.27|0.42
epoch:62, loss: 0.19859810228700991, other:0.88|1.00|0.93, company:0.96|0.74|0.83, address:0.98|0.67|0.80, date:0.94|0.44|0.60, total:0.95|0.24|0.39
epoch:63, loss: 0.21718366940816244, other:0.90|1.00|0.94, company:0.83|0.83|0.83, address:0.99|0.65|0.78, date:0.93|0.45|0.60, total:0.93|0.28|0.43
epoch:64, loss: 0.22206935286521912, other:0.90|1.00|0.95, company:0.80|0.83|0.81, address:0.98|0.67|0.80, date:0.93|0.46|0.62, total:0.94|0.28|0.43
epoch:65, loss: 0.20428008282626117, other:0.88|1.00|0.94, company:0.91|0.83|0.86, address:0.99|0.64|0.78, date:0.94|0.44|0.60, total:0.95|0.25|0.40
epoch:66, loss: 0.20166482528050741, other:0.88|1.00|0.94, company:0.96|0.74|0.83, address:0.99|0.58|0.73, date:0.92|0.48|0.63, total:0.92|0.28|0.43
epoch:67, loss: 0.1989221959202378, other:0.88|1.00|0.94, company:0.91|0.83|0.87, address:0.99|0.62|0.76, date:0.97|0.39|0.55, total:0.93|0.29|0.44
epoch:68, loss: 0.19174295001559788, other:0.89|1.00|0.94, company:0.93|0.81|0.87, address:0.99|0.63|0.77, date:0.94|0.46|0.62, total:0.95|0.26|0.41
epoch:69, loss: 0.19966547080764063, other:0.89|1.00|0.94, company:0.90|0.81|0.85, address:0.99|0.64|0.78, date:0.95|0.41|0.57, total:0.93|0.28|0.43
epoch:70, loss: 0.19620722201135424, other:0.88|1.00|0.94, company:0.92|0.79|0.85, address:0.99|0.64|0.78, date:0.95|0.43|0.59, total:0.95|0.26|0.41
epoch:71, loss: 0.19448700547218323, other:0.89|1.00|0.94, company:0.89|0.84|0.86, address:0.99|0.63|0.77, date:0.93|0.48|0.63, total:0.95|0.27|0.42
epoch:72, loss: 0.20060831805070242, other:0.89|1.00|0.94, company:0.90|0.83|0.86, address:1.00|0.59|0.74, date:0.93|0.47|0.63, total:0.93|0.28|0.43
epoch:73, loss: 0.18090572511708294, other:0.90|1.00|0.95, company:0.97|0.76|0.85, address:0.99|0.67|0.80, date:0.93|0.51|0.65, total:0.93|0.30|0.46
epoch:74, loss: 0.2083009238596316, other:0.90|1.00|0.94, company:0.82|0.84|0.83, address:0.98|0.68|0.81, date:0.94|0.47|0.63, total:0.96|0.27|0.42
epoch:75, loss: 0.2247326252637086, other:0.89|1.00|0.94, company:0.80|0.84|0.82, address:0.99|0.63|0.77, date:0.91|0.49|0.64, total:0.95|0.27|0.42
epoch:76, loss: 0.18820563841749122, other:0.90|1.00|0.94, company:0.89|0.84|0.86, address:0.99|0.69|0.81, date:0.95|0.46|0.62, total:0.94|0.27|0.42
epoch:77, loss: 0.19260319349942384, other:0.88|1.00|0.94, company:0.95|0.77|0.85, address:0.99|0.62|0.76, date:0.95|0.47|0.63, total:0.96|0.26|0.41
epoch:78, loss: 0.17798831782959126, other:0.90|1.00|0.95, company:0.94|0.80|0.87, address:0.99|0.68|0.81, date:0.93|0.50|0.65, total:0.95|0.28|0.44
epoch:79, loss: 0.1884402362284837, other:0.89|1.00|0.94, company:0.92|0.80|0.86, address:0.99|0.64|0.78, date:0.96|0.44|0.61, total:0.95|0.27|0.43
epoch:80, loss: 0.17690774770798506, other:0.89|1.00|0.94, company:0.95|0.81|0.87, address:0.99|0.69|0.82, date:0.97|0.40|0.57, total:0.94|0.29|0.45
epoch:81, loss: 0.17378231441533123, other:0.91|1.00|0.95, company:0.94|0.81|0.87, address:0.99|0.70|0.82, date:0.94|0.47|0.63, total:0.94|0.31|0.47
epoch:82, loss: 0.17969301563722115, other:0.90|1.00|0.95, company:0.91|0.84|0.87, address:0.99|0.72|0.83, date:0.96|0.46|0.62, total:0.95|0.28|0.43
epoch:83, loss: 0.18317025623939656, other:0.89|1.00|0.94, company:0.96|0.77|0.85, address:0.99|0.61|0.75, date:0.94|0.48|0.64, total:0.93|0.30|0.45
epoch:84, loss: 0.2077780509436572, other:0.91|1.00|0.95, company:0.80|0.84|0.82, address:0.99|0.69|0.81, date:0.96|0.48|0.64, total:0.94|0.30|0.45
epoch:85, loss: 0.1802225419216686, other:0.89|1.00|0.94, company:0.91|0.83|0.87, address:1.00|0.67|0.80, date:0.97|0.43|0.60, total:0.95|0.28|0.43
epoch:86, loss: 0.168454856508308, other:0.90|1.00|0.95, company:0.94|0.83|0.88, address:1.00|0.64|0.78, date:0.94|0.51|0.66, total:0.95|0.30|0.45
epoch:87, loss: 0.1638817083504465, other:0.90|1.00|0.95, company:0.94|0.79|0.86, address:0.99|0.69|0.81, date:0.97|0.49|0.65, total:0.95|0.30|0.45
epoch:88, loss: 0.1709465867391339, other:0.90|1.00|0.95, company:0.91|0.83|0.87, address:0.99|0.68|0.81, date:0.97|0.47|0.63, total:0.96|0.29|0.44
epoch:89, loss: 0.17476949288889213, other:0.89|1.00|0.94, company:0.95|0.82|0.88, address:0.99|0.71|0.83, date:0.99|0.39|0.56, total:0.96|0.27|0.42
epoch:90, loss: 0.16524928780617537, other:0.90|1.00|0.95, company:0.96|0.81|0.88, address:1.00|0.66|0.80, date:0.96|0.48|0.64, total:0.95|0.30|0.46
