epoch:0, loss: 1.4038109028780903, other:1.00|0.89|0.94, company:0.00|0.00|0.00, address:0.00|0.00|0.00, date:0.00|0.00|0.00, total:0.00|0.00|0.00
epoch:1, loss: 1.0989796894567985, other:1.00|0.91|0.95, company:0.00|0.00|0.00, address:0.21|0.46|0.29, date:0.00|0.00|0.00, total:0.00|0.20|0.01
epoch:2, loss: 0.6737462480862936, other:0.90|0.96|0.93, company:0.22|0.77|0.34, address:0.93|0.39|0.55, date:0.02|0.14|0.04, total:0.30|0.15|0.20
epoch:3, loss: 0.595950722694397, other:0.84|0.97|0.90, company:0.44|0.70|0.54, address:0.94|0.38|0.54, date:0.26|0.32|0.29, total:0.58|0.15|0.23
epoch:4, loss: 0.5457503144387845, other:0.85|0.98|0.91, company:0.60|0.70|0.65, address:0.91|0.42|0.57, date:0.37|0.29|0.33, total:0.62|0.16|0.25
epoch:5, loss: 0.5144518525512131, other:0.81|0.98|0.89, company:0.73|0.73|0.73, address:0.92|0.42|0.57, date:0.51|0.28|0.36, total:0.78|0.15|0.25
epoch:6, loss: 0.5026299854119619, other:0.82|0.99|0.89, company:0.86|0.62|0.72, address:0.87|0.40|0.55, date:0.58|0.28|0.38, total:0.76|0.17|0.27
epoch:7, loss: 0.4667006057721597, other:0.82|0.99|0.89, company:0.65|0.78|0.71, address:0.97|0.44|0.61, date:0.64|0.28|0.39, total:0.78|0.16|0.27
epoch:8, loss: 0.44149091839790344, other:0.83|0.99|0.90, company:0.66|0.78|0.72, address:0.96|0.44|0.60, date:0.59|0.32|0.42, total:0.77|0.17|0.28
epoch:9, loss: 0.4334978328810798, other:0.83|0.99|0.90, company:0.64|0.81|0.71, address:0.96|0.48|0.64, date:0.70|0.27|0.39, total:0.80|0.18|0.30
epoch:10, loss: 0.4233228431807624, other:0.80|0.99|0.89, company:0.65|0.82|0.72, address:0.97|0.46|0.62, date:0.74|0.26|0.39, total:0.88|0.17|0.28
epoch:11, loss: 0.3994948621149416, other:0.83|0.99|0.90, company:0.76|0.80|0.78, address:0.97|0.45|0.62, date:0.74|0.27|0.40, total:0.74|0.21|0.32
epoch:12, loss: 0.3853704885200218, other:0.83|0.99|0.90, company:0.75|0.80|0.78, address:0.97|0.49|0.65, date:0.76|0.26|0.39, total:0.81|0.21|0.33
epoch:13, loss: 0.37407934444921986, other:0.82|0.99|0.90, company:0.79|0.79|0.79, address:0.98|0.46|0.63, date:0.78|0.29|0.43, total:0.84|0.19|0.31
epoch:14, loss: 0.3695458703570896, other:0.83|0.99|0.90, company:0.73|0.81|0.77, address:0.98|0.48|0.64, date:0.79|0.27|0.41, total:0.85|0.20|0.32
epoch:15, loss: 0.3511638641357422, other:0.84|0.99|0.91, company:0.79|0.80|0.79, address:0.97|0.50|0.66, date:0.77|0.28|0.42, total:0.85|0.20|0.33
epoch:16, loss: 0.341260959704717, other:0.82|0.99|0.90, company:0.87|0.76|0.81, address:0.97|0.51|0.67, date:0.83|0.27|0.40, total:0.89|0.19|0.32
epoch:17, loss: 0.3336387773354848, other:0.83|0.99|0.90, company:0.87|0.79|0.83, address:0.96|0.49|0.65, date:0.82|0.30|0.43, total:0.89|0.20|0.33
epoch:18, loss: 0.33062945361490603, other:0.84|0.99|0.91, company:0.83|0.80|0.82, address:0.96|0.52|0.67, date:0.80|0.29|0.43, total:0.86|0.21|0.34
epoch:19, loss: 0.3950493070814345, other:0.83|0.99|0.91, company:0.49|0.81|0.61, address:0.96|0.52|0.67, date:0.86|0.23|0.36, total:0.87|0.22|0.35
epoch:20, loss: 0.3326698398148572, other:0.82|0.99|0.90, company:0.75|0.82|0.78, address:0.98|0.51|0.67, date:0.84|0.28|0.43, total:0.91|0.19|0.32
epoch:21, loss: 0.31953853699896073, other:0.82|0.99|0.90, company:0.83|0.79|0.81, address:0.98|0.50|0.66, date:0.89|0.26|0.41, total:0.89|0.21|0.34
epoch:22, loss: 0.30481911257461264, other:0.85|0.99|0.91, company:0.84|0.79|0.81, address:0.98|0.53|0.68, date:0.82|0.31|0.45, total:0.84|0.22|0.35
epoch:23, loss: 0.311900085873074, other:0.82|0.99|0.90, company:0.78|0.80|0.79, address:0.99|0.50|0.66, date:0.89|0.29|0.44, total:0.92|0.20|0.32
epoch:24, loss: 0.2983240518305037, other:0.85|0.99|0.91, company:0.82|0.78|0.80, address:0.97|0.56|0.71, date:0.84|0.31|0.46, total:0.90|0.21|0.35
epoch:25, loss: 0.28927145015310357, other:0.84|0.99|0.91, company:0.85|0.79|0.82, address:0.99|0.52|0.68, date:0.84|0.33|0.48, total:0.92|0.21|0.34
epoch:26, loss: 0.303417491140189, other:0.83|1.00|0.91, company:0.76|0.80|0.78, address:0.99|0.51|0.68, date:0.90|0.31|0.46, total:0.93|0.20|0.34
epoch:27, loss: 0.2825037412069462, other:0.84|0.99|0.91, company:0.84|0.80|0.82, address:0.99|0.53|0.69, date:0.85|0.36|0.51, total:0.93|0.21|0.34
epoch:28, loss: 0.27522230589831315, other:0.84|1.00|0.91, company:0.89|0.76|0.82, address:0.99|0.53|0.69, date:0.91|0.30|0.45, total:0.91|0.22|0.35
epoch:29, loss: 0.293047993823334, other:0.85|0.99|0.92, company:0.77|0.80|0.78, address:0.99|0.56|0.71, date:0.88|0.34|0.49, total:0.92|0.21|0.34
epoch:30, loss: 0.27360225717226666, other:0.85|0.99|0.92, company:0.84|0.81|0.83, address:0.98|0.58|0.73, date:0.90|0.31|0.46, total:0.90|0.23|0.36
epoch:31, loss: 0.26758970540982707, other:0.83|1.00|0.91, company:0.89|0.81|0.85, address:0.99|0.55|0.70, date:0.90|0.32|0.48, total:0.95|0.20|0.34
epoch:32, loss: 0.2642021041225504, other:0.82|1.00|0.90, company:0.91|0.78|0.84, address:0.99|0.53|0.69, date:0.91|0.35|0.50, total:0.96|0.19|0.32
epoch:33, loss: 0.26092807783020866, other:0.84|1.00|0.91, company:0.91|0.77|0.84, address:0.99|0.56|0.71, date:0.93|0.31|0.46, total:0.94|0.22|0.35
epoch:34, loss: 0.2531502749081011, other:0.86|1.00|0.92, company:0.88|0.78|0.83, address:0.98|0.61|0.75, date:0.91|0.35|0.51, total:0.92|0.23|0.37
epoch:35, loss: 0.25492062281679223, other:0.85|1.00|0.92, company:0.90|0.78|0.84, address:0.99|0.57|0.72, date:0.93|0.30|0.46, total:0.89|0.25|0.39
epoch:36, loss: 0.25073472989930046, other:0.87|1.00|0.93, company:0.86|0.81|0.84, address:0.99|0.62|0.76, date:0.92|0.34|0.50, total:0.90|0.26|0.40
epoch:37, loss: 0.2557858532225644, other:0.87|1.00|0.93, company:0.81|0.84|0.83, address:0.99|0.61|0.76, date:0.92|0.37|0.52, total:0.94|0.23|0.37
epoch:38, loss: 0.26320279637972516, other:0.88|0.99|0.94, company:0.78|0.83|0.80, address:0.97|0.65|0.78, date:0.88|0.40|0.55, total:0.93|0.25|0.39
epoch:39, loss: 0.24616173847957892, other:0.86|1.00|0.92, company:0.87|0.82|0.84, address:0.99|0.62|0.76, date:0.93|0.35|0.51, total:0.94|0.22|0.36
epoch:40, loss: 0.23684526428028388, other:0.89|0.99|0.94, company:0.89|0.83|0.86, address:0.97|0.67|0.79, date:0.93|0.35|0.51, total:0.88|0.28|0.43
epoch:41, loss: 0.246264378229777, other:0.87|0.99|0.93, company:0.88|0.84|0.86, address:0.98|0.67|0.80, date:0.90|0.38|0.54, total:0.94|0.23|0.37
epoch:42, loss: 0.23209603682712274, other:0.86|1.00|0.92, company:0.95|0.72|0.82, address:0.98|0.64|0.77, date:0.93|0.34|0.50, total:0.94|0.23|0.37
epoch:43, loss: 0.25334660874472725, other:0.87|1.00|0.93, company:0.80|0.82|0.81, address:0.98|0.63|0.77, date:0.91|0.39|0.54, total:0.94|0.23|0.37
epoch:44, loss: 0.2262898595244796, other:0.86|1.00|0.93, company:0.92|0.80|0.86, address:0.99|0.59|0.74, date:0.91|0.41|0.56, total:0.95|0.23|0.37
epoch:45, loss: 0.240732553380507, other:0.88|1.00|0.93, company:0.86|0.83|0.84, address:0.98|0.67|0.80, date:0.92|0.38|0.54, total:0.93|0.24|0.38
epoch:46, loss: 0.2484747623955762, other:0.85|1.00|0.92, company:0.85|0.83|0.84, address:0.99|0.61|0.76, date:0.95|0.31|0.47, total:0.96|0.22|0.36
epoch:47, loss: 0.22545973018363671, other:0.87|1.00|0.93, company:0.90|0.78|0.83, address:0.99|0.60|0.75, date:0.93|0.37|0.53, total:0.91|0.26|0.40
epoch:48, loss: 0.21182090485537494, other:0.89|1.00|0.94, company:0.94|0.74|0.82, address:0.99|0.64|0.78, date:0.92|0.43|0.59, total:0.92|0.27|0.42
epoch:49, loss: 0.23238186207082537, other:0.86|1.00|0.92, company:0.89|0.81|0.85, address:0.99|0.61|0.76, date:0.95|0.34|0.50, total:0.95|0.23|0.36
epoch:50, loss: 0.2210999125683749, other:0.90|0.99|0.95, company:0.88|0.85|0.87, address:0.97|0.74|0.84, date:0.92|0.39|0.55, total:0.91|0.29|0.43
epoch:51, loss: 0.22108153833283317, other:0.88|1.00|0.94, company:0.86|0.82|0.84, address:0.99|0.64|0.78, date:0.94|0.41|0.57, total:0.94|0.26|0.40
epoch:52, loss: 0.20803064163084384, other:0.88|1.00|0.94, company:0.94|0.78|0.85, address:0.98|0.73|0.84, date:0.95|0.36|0.52, total:0.94|0.26|0.41
epoch:53, loss: 0.2133353324951949, other:0.86|1.00|0.92, company:0.95|0.76|0.84, address:0.99|0.62|0.76, date:0.95|0.35|0.52, total:0.95|0.24|0.39
epoch:54, loss: 0.21238005050906428, other:0.88|1.00|0.93, company:0.90|0.80|0.85, address:0.99|0.65|0.79, date:0.94|0.39|0.55, total:0.94|0.25|0.40
epoch:55, loss: 0.2443294784537068, other:0.85|1.00|0.92, company:0.81|0.81|0.81, address:1.00|0.56|0.72, date:0.94|0.34|0.50, total:0.95|0.23|0.37
epoch:56, loss: 0.21504955545619683, other:0.87|1.00|0.93, company:0.94|0.78|0.85, address:0.98|0.67|0.80, date:0.94|0.39|0.56, total:0.95|0.22|0.36
epoch:57, loss: 0.21712148741439538, other:0.91|0.99|0.95, company:0.88|0.84|0.86, address:0.98|0.70|0.82, date:0.90|0.46|0.61, total:0.90|0.29|0.44
epoch:58, loss: 0.20939622984992134, other:0.88|1.00|0.93, company:0.90|0.81|0.85, address:0.99|0.66|0.80, date:0.94|0.40|0.56, total:0.95|0.24|0.38
epoch:59, loss: 0.2067198803027471, other:0.87|1.00|0.93, company:0.92|0.78|0.85, address:0.99|0.67|0.80, date:0.95|0.37|0.53, total:0.95|0.24|0.38
epoch:60, loss: 0.20177075432406533, other:0.88|1.00|0.94, company:0.91|0.78|0.84, address:0.99|0.69|0.81, date:0.93|0.42|0.58, total:0.94|0.25|0.39
epoch:61, loss: 0.20120627129519428, other:0.89|1.00|0.94, company:0.91|0.78|0.84, address:0.99|0.69|0.81, date:0.93|0.43|0.59, total:0.95|0.26|0.41
epoch:62, loss: 0.1927770906024509, other:0.88|1.00|0.93, company:0.94|0.77|0.85, address:0.99|0.70|0.82, date:0.94|0.42|0.59, total:0.96|0.24|0.38
epoch:63, loss: 0.20732330999992513, other:0.89|1.00|0.94, company:0.87|0.84|0.85, address:0.99|0.69|0.81, date:0.94|0.43|0.59, total:0.94|0.27|0.42
epoch:64, loss: 0.20448033180501726, other:0.88|1.00|0.94, company:0.87|0.82|0.85, address:0.99|0.68|0.81, date:0.95|0.42|0.58, total:0.95|0.25|0.40
epoch:65, loss: 0.20322837487415032, other:0.88|1.00|0.94, company:0.89|0.83|0.86, address:0.99|0.68|0.80, date:0.96|0.39|0.56, total:0.95|0.26|0.40
epoch:66, loss: 0.19374486748818998, other:0.88|1.00|0.94, company:0.96|0.68|0.80, address:0.99|0.66|0.79, date:0.93|0.43|0.59, total:0.95|0.27|0.42
epoch:67, loss: 0.19640425454687188, other:0.87|1.00|0.93, company:0.93|0.81|0.87, address:0.99|0.67|0.80, date:0.96|0.38|0.54, total:0.95|0.24|0.38
epoch:68, loss: 0.18384915203959853, other:0.89|1.00|0.94, company:0.93|0.81|0.87, address:0.99|0.69|0.81, date:0.95|0.46|0.62, total:0.95|0.27|0.42
epoch:69, loss: 0.22073122969380132, other:0.88|1.00|0.94, company:0.81|0.83|0.82, address:0.99|0.67|0.80, date:0.97|0.38|0.54, total:0.95|0.26|0.41
epoch:70, loss: 0.19098903128394373, other:0.88|1.00|0.93, company:0.94|0.77|0.84, address:0.99|0.68|0.81, date:0.97|0.41|0.57, total:0.95|0.25|0.39
epoch:71, loss: 0.20434607289455556, other:0.89|1.00|0.94, company:0.87|0.85|0.86, address:1.00|0.66|0.79, date:0.95|0.44|0.60, total:0.95|0.25|0.40
epoch:72, loss: 0.1911663567578351, other:0.88|1.00|0.93, company:0.95|0.79|0.86, address:0.99|0.66|0.79, date:0.96|0.41|0.58, total:0.95|0.25|0.40
epoch:73, loss: 0.18581441265565377, other:0.90|1.00|0.94, company:0.91|0.84|0.87, address:0.99|0.69|0.81, date:0.94|0.48|0.63, total:0.96|0.27|0.42
epoch:74, loss: 0.22282389247858966, other:0.89|1.00|0.94, company:0.76|0.83|0.79, address:0.99|0.69|0.81, date:0.97|0.42|0.58, total:0.95|0.26|0.40
epoch:75, loss: 0.19193030617855214, other:0.89|1.00|0.94, company:0.91|0.82|0.86, address:0.99|0.66|0.79, date:0.93|0.45|0.61, total:0.95|0.26|0.41
epoch:76, loss: 0.19950579437944624, other:0.89|1.00|0.94, company:0.86|0.85|0.85, address:0.99|0.69|0.81, date:0.96|0.44|0.60, total:0.95|0.27|0.42
epoch:77, loss: 0.19042314478644617, other:0.88|1.00|0.93, company:0.92|0.81|0.86, address:0.99|0.68|0.81, date:0.97|0.42|0.58, total:0.96|0.24|0.39
epoch:78, loss: 0.17630096166222184, other:0.90|1.00|0.95, company:0.96|0.73|0.83, address:0.98|0.69|0.81, date:0.95|0.50|0.65, total:0.93|0.30|0.45
epoch:79, loss: 0.19188274056823165, other:0.87|1.00|0.93, company:0.93|0.81|0.87, address:0.99|0.69|0.82, date:0.98|0.37|0.53, total:0.96|0.25|0.39
epoch:80, loss: 0.17003556396122332, other:0.90|1.00|0.95, company:0.95|0.80|0.87, address:0.99|0.72|0.83, date:0.97|0.45|0.62, total:0.95|0.29|0.44
epoch:81, loss: 0.1743758362200525, other:0.90|1.00|0.95, company:0.92|0.82|0.87, address:0.99|0.73|0.84, date:0.97|0.44|0.61, total:0.95|0.29|0.44
epoch:82, loss: 0.1760026420708056, other:0.90|1.00|0.94, company:0.93|0.85|0.88, address:0.99|0.74|0.85, date:0.97|0.47|0.63, total:0.96|0.26|0.41
epoch:83, loss: 0.169929051288852, other:0.90|1.00|0.95, company:0.93|0.82|0.87, address:1.00|0.70|0.82, date:0.94|0.50|0.66, total:0.94|0.29|0.44
epoch:84, loss: 0.18148677547772726, other:0.89|1.00|0.94, company:0.91|0.82|0.86, address:0.99|0.72|0.84, date:0.97|0.43|0.60, total:0.97|0.26|0.41
epoch:85, loss: 0.16422585618716698, other:0.90|1.00|0.94, company:0.95|0.81|0.87, address:0.99|0.73|0.84, date:0.97|0.46|0.63, total:0.96|0.27|0.42
epoch:86, loss: 0.16408327718575796, other:0.89|1.00|0.94, company:0.94|0.81|0.87, address:0.99|0.70|0.82, date:0.97|0.48|0.64, total:0.96|0.27|0.42
epoch:87, loss: 0.16125232947093468, other:0.90|1.00|0.95, company:0.95|0.78|0.86, address:0.99|0.71|0.83, date:0.97|0.50|0.66, total:0.96|0.29|0.44
epoch:88, loss: 0.173972779126079, other:0.89|1.00|0.94, company:0.90|0.82|0.86, address:1.00|0.71|0.83, date:0.98|0.43|0.60, total:0.96|0.28|0.43
epoch:89, loss: 0.16220684183968437, other:0.90|1.00|0.95, company:0.97|0.78|0.86, address:0.99|0.71|0.82, date:0.97|0.44|0.61, total:0.96|0.30|0.46
epoch:90, loss: 0.16261735944836228, other:0.90|1.00|0.95, company:0.94|0.83|0.88, address:0.99|0.73|0.84, date:0.97|0.45|0.61, total:0.97|0.28|0.43
epoch:91, loss: 0.15719577559718378, other:0.90|1.00|0.95, company:0.96|0.79|0.87, address:0.99|0.75|0.85, date:0.98|0.47|0.63, total:0.96|0.30|0.45
epoch:92, loss: 0.1647924264823949, other:0.91|1.00|0.95, company:0.90|0.85|0.87, address:0.99|0.75|0.85, date:0.98|0.47|0.64, total:0.95|0.30|0.45
epoch:93, loss: 0.15862663255797493, other:0.91|1.00|0.95, company:0.93|0.84|0.88, address:0.99|0.75|0.86, date:0.97|0.50|0.66, total:0.96|0.28|0.43
epoch:94, loss: 0.16601256584679638, other:0.89|1.00|0.94, company:0.94|0.82|0.87, address:1.00|0.69|0.81, date:0.98|0.46|0.63, total:0.97|0.26|0.41
epoch:95, loss: 0.16652955832304778, other:0.89|1.00|0.94, company:0.93|0.79|0.85, address:1.00|0.69|0.81, date:0.97|0.49|0.65, total:0.97|0.27|0.42
epoch:96, loss: 0.18649635160410846, other:0.90|1.00|0.95, company:0.83|0.85|0.84, address:1.00|0.71|0.83, date:0.98|0.44|0.61, total:0.97|0.29|0.45
epoch:97, loss: 0.18054421190862302, other:0.88|1.00|0.94, company:0.98|0.70|0.81, address:0.96|0.68|0.80, date:0.98|0.44|0.61, total:0.98|0.25|0.40
epoch:98, loss: 0.1751943956370707, other:0.90|1.00|0.95, company:0.90|0.87|0.88, address:0.98|0.77|0.86, date:0.99|0.42|0.59, total:0.97|0.28|0.43
epoch:99, loss: 0.16988608185891751, other:0.91|1.00|0.95, company:0.89|0.85|0.87, address:0.99|0.74|0.85, date:0.98|0.47|0.64, total:0.96|0.29|0.44
epoch:100, loss: 0.15281208411411004, other:0.91|1.00|0.95, company:0.94|0.83|0.88, address:0.99|0.76|0.86, date:0.98|0.51|0.67, total:0.96|0.29|0.45
epoch:101, loss: 0.15534049934811062, other:0.90|1.00|0.95, company:0.95|0.84|0.89, address:0.99|0.75|0.85, date:0.99|0.45|0.62, total:0.95|0.30|0.45
epoch:102, loss: 0.1701092043960536, other:0.90|1.00|0.94, company:0.89|0.82|0.85, address:0.99|0.71|0.83, date:0.98|0.45|0.62, total:0.97|0.28|0.43
epoch:103, loss: 0.16856190783006172, other:0.89|1.00|0.94, company:0.94|0.80|0.87, address:1.00|0.70|0.82, date:0.99|0.42|0.59, total:0.97|0.26|0.41
